yaw,pitch,roll
0.394021507,0.070437206,-0.008800361
0.051188332,0.05553854,0.000855638
-0.196037671,0.047370596,0.011524567
-0.357235866,0.030298133,0.007718706
-0.558352276,0.01026962,0.013849646
-0.703761543,-0.00485237,0.028930051
-0.765482437,-0.011630049,0.03845815
-0.672542687,-0.007149362,0.043934631
-0.403002646,0.001261603,0.040845613
-0.068539418,0.014368846,0.026787372
0.345937173,0.036572358,-0.004228891
0.785552502,0.054932025,-0.036301308
1.101430344,0.07461645,-0.066177423
1.41134296,0.096216893,-0.100872722
1.652573916,0.111463486,-0.134128585
1.818493473,0.125167985,-0.156702507
1.899035116,0.135091882,-0.17291651
1.891309012,0.135326763,-0.169021004
1.845721903,0.140505711,-0.168243086
1.873373867,0.145423246,-0.175392252
1.804889632,0.149875236,-0.163048399
1.601634274,0.148769637,-0.126531986
1.32702331,0.151243032,-0.088202818
0.900741656,0.14508798,-0.050154067
0.49821076,0.16364007,-0.029159802
0.241585559,0.154897257,0.00741176
-0.203235787,0.138117082,0.041385303
-0.760538207,0.144242963,0.04840734
-1.095482184,0.155768295,0.017874309
-1.118930544,0.156069242,-0.014335177
-0.889505717,0.151868929,-0.034485578
-0.692266764,0.123317141,-0.041659841
-0.554184431,0.118206899,-0.064790255
-0.265417758,0.126149829,-0.086427009
0.218836082,0.112295615,-0.097151375
0.61644457,0.092919899,-0.085107005
0.77405182,0.078427933,-0.071971389
0.833447562,0.078389259,-0.06900335
0.9131517,0.081241822,-0.066551898
0.954517919,0.089773283,-0.068221674
1.040115344,0.093248465,-0.069677757
1.087604253,0.092052762,-0.065899314
1.148420386,0.10143602,-0.079255653
1.18051414,0.109359861,-0.090834194
1.17902519,0.110475574,-0.095532996
1.176720299,0.108193124,-0.101557538
1.094074536,0.096355522,-0.091325445
0.984072903,0.082632806,-0.07487333
0.848590284,0.067821067,-0.057111817
0.739499587,0.050459681,-0.03403568
0.67450849,0.033386127,-0.016574607
0.617435536,0.021724806,-0.00384741
0.532995523,0.006176149,0.011356328
0.462616469,-0.003836775,0.022075522
0.36547038,-0.014750777,0.036493403
0.32584901,-0.020852762,0.042609539
0.261102452,-0.028715679,0.047696148
0.28095829,-0.022153839,0.042178646
0.24481657,-0.028771792,0.040085942
0.17668437,-0.033120992,0.040205244
0.101093923,-0.041868835,0.042211677
-0.035101961,-0.055014468,0.042876615
-0.239728876,-0.067473028,0.047361619
-0.390936716,-0.075971689,0.051994543
-0.499057711,-0.085277094,0.062614461
-0.560645023,-0.084240044,0.068530291
-0.589797524,-0.070043432,0.071700351
-0.661271827,-0.05167801,0.075142208
-0.714847654,-0.023458583,0.071765271
-0.714308918,0.009698313,0.075915266
-0.713398074,0.047238133,0.08344664
-0.545888657,0.070282273,0.102799014
0.334127683,0.018125675,0.05224231
1.612532376,-0.103505176,-0.0804427
3.585240311,-0.299320476,-0.284135927
5.839192162,-0.51103533,-0.492345005
8.262125187,-0.751527361,-0.7532091
10.78107715,-1.016164139,-1.085630754
13.28232801,-1.269319133,-1.444314452
15.26246485,-1.476179117,-1.783975977
16.82035298,-1.609029386,-2.075700618
17.3536614,-1.633505726,-2.344712759
18.0638795,-1.701132602,-2.574847278
18.72479634,-1.784068018,-2.744176665
19.423728,-1.869262997,-2.79799398
19.4789034,-1.906530938,-2.778850734
19.34614543,-1.916651629,-2.698893822
19.26515912,-1.930525918,-2.539919187
19.45484803,-1.909995663,-2.226286247
20.58481879,-1.882564223,-1.849354602
22.78145765,-1.888178006,-1.477441245
25.09562657,-1.892041655,-1.136970809
28.22890784,-1.945361386,-0.815553001
31.6501072,-1.960013724,-0.469907613
35.25450903,-1.943006214,-0.139688897
39.02935099,-1.977718013,0.082154661
41.58662371,-1.930783741,0.229736631
43.00990056,-1.797983072,0.368831395
44.24523238,-1.604321959,0.505261976
45.15793862,-1.37019538,0.592371606
45.8144637,-1.16473525,0.635146702
46.3014962,-0.994895851,0.649488975
46.7357948,-0.846950773,0.671641193
47.03262587,-0.737835112,0.67422495
47.3139546,-0.623064159,0.65123488
47.48171971,-0.521637911,0.565214104
47.5827454,-0.438715677,0.470024302
47.74205142,-0.331047271,0.373847223
47.90455797,-0.192194462,0.231450591
48.06511001,-0.03353153,0.067422605
48.14450621,0.145571156,-0.108164461
48.12197555,0.320636204,-0.254766989
48.0393559,0.483324465,-0.322765104
47.89392435,0.619188595,-0.36142796
47.49788911,0.726749983,-0.377838592
46.07072302,0.82198674,-0.347133401
44.35720203,0.919594903,-0.25020591
42.58102971,1.01976859,-0.120728878
39.9879148,1.131952331,-0.009975004
37.13247495,1.257481315,0.062818148
33.67417544,1.387386122,0.100406903
30.32904569,1.511675439,0.136987462
28.40252571,1.609556478,0.190704903
26.75906642,1.699126174,0.163300945
24.97744325,1.759146723,0.130564162
23.948722,1.726233115,0.066055939
22.90961764,1.663202274,-0.038139636
22.70725635,1.645271401,-0.093479824
22.60710446,1.604164046,-0.136847208
21.89035597,1.520373522,-0.24282894
