yaw,pitch,roll,yawt,pitcht,rollt
0.394021507,0.070437206,-0.008800361,0.52294502,0.44893492,-0.867762495
0.051188332,0.05553854,0.000855638,-0.006492355,0.448590671,-0.779327236
-0.196037671,0.047370596,0.011524567,-0.495326132,0.510396909,-0.677230561
-0.357235866,0.030298133,0.007718706,-0.853996654,0.634733876,-0.500877372
-0.558352276,0.01026962,0.013849646,-1.025850594,0.768094111,-0.318239264
-0.703761543,-0.00485237,0.028930051,-1.01380713,0.878730416,-0.203450425
-0.765482437,-0.011630049,0.03845815,-0.83805684,0.961495954,-0.166632831
-0.672542687,-0.007149362,0.043934631,-0.542208202,0.995276752,-0.204841841
-0.403002646,0.001261603,0.040845613,-0.231400137,1.017558072,-0.255054936
-0.068539418,0.014368846,0.026787372,0.060371833,1.019917798,-0.265168224
0.345937173,0.036572358,-0.004228891,0.298457216,1.021144184,-0.360735931
0.785552502,0.054932025,-0.036301308,0.38137058,0.999999448,-0.489485344
1.101430344,0.07461645,-0.066177423,0.378434992,0.977183603,-0.573354734
1.41134296,0.096216893,-0.100872722,0.36048392,0.952549193,-0.545714752
1.652573916,0.111463486,-0.134128585,0.373601305,0.950152925,-0.482762831
1.818493473,0.125167985,-0.156702507,0.496510562,0.974101441,-0.46322787
1.899035116,0.135091882,-0.17291651,0.587121819,1.004845642,-0.514273929
1.891309012,0.135326763,-0.169021004,0.677308205,0.953364632,-0.500481747
1.845721903,0.140505711,-0.168243086,0.882977028,0.895887426,-0.439879588
1.873373867,0.145423246,-0.175392252,1.090564325,0.866995972,-0.392101285
1.804889632,0.149875236,-0.163048399,1.216151938,0.847450741,-0.385341432
1.601634274,0.148769637,-0.126531986,1.186592706,0.832026577,-0.432656245
1.32702331,0.151243032,-0.088202818,1.052879008,0.793905154,-0.42564317
0.900741656,0.14508798,-0.050154067,0.933934515,0.755559274,-0.413454785
0.49821076,0.16364007,-0.029159802,0.816799863,0.765098777,-0.426358358
0.241585559,0.154897257,0.00741176,0.663301233,0.758987088,-0.482342399
-0.203235787,0.138117082,0.041385303,0.480031983,0.765535406,-0.539346009
-0.760538207,0.144242963,0.04840734,0.295178253,0.790379186,-0.589912608
-1.095482184,0.155768295,0.017874309,0.215701636,0.807239135,-0.556799006
-1.118930544,0.156069242,-0.014335177,0.184825132,0.854367284,-0.54536748
-0.889505717,0.151868929,-0.034485578,0.208286456,0.880235094,-0.538043603
-0.692266764,0.123317141,-0.041659841,0.207709773,0.844645231,-0.565548469
-0.554184431,0.118206899,-0.064790255,0.159586353,0.843124147,-0.566520752
-0.265417758,0.126149829,-0.086427009,0.080597059,0.802561929,-0.553682108
0.218836082,0.112295615,-0.097151375,4.66E-05,0.767175136,-0.557200185
0.61644457,0.092919899,-0.085107005,-0.149593368,0.742836036,-0.571684963
0.77405182,0.078427933,-0.071971389,-0.299019435,0.693910451,-0.574893121
0.833447562,0.078389259,-0.06900335,-0.447793395,0.673934297,-0.560248158
0.9131517,0.081241822,-0.066551898,-0.507437712,0.702733075,-0.532216717
0.954517919,0.089773283,-0.068221674,-0.471249264,0.704455933,-0.553700743
1.040115344,0.093248465,-0.069677757,-0.423005982,0.676585559,-0.593007176
1.087604253,0.092052762,-0.065899314,-0.410996265,0.638179055,-0.585176048
1.148420386,0.10143602,-0.079255653,-0.400995104,0.599524206,-0.601782622
1.18051414,0.109359861,-0.090834194,-0.388418917,0.595136924,-0.588762538
1.17902519,0.110475574,-0.095532996,-0.306342724,0.608562307,-0.546791364
1.176720299,0.108193124,-0.101557538,-0.198729664,0.626085551,-0.497625884
1.094074536,0.096355522,-0.091325445,-0.074260552,0.665713356,-0.399718342
0.984072903,0.082632806,-0.07487333,0.168629169,0.757655273,-0.344109969
0.848590284,0.067821067,-0.057111817,0.459659815,0.829889896,-0.375633342
0.739499587,0.050459681,-0.03403568,0.699118065,0.875532546,-0.39442794
0.67450849,0.033386127,-0.016574607,0.909678565,0.877870325,-0.407543054
0.617435536,0.021724806,-0.00384741,1.07661628,0.845277131,-0.441035944
0.532995523,0.006176149,0.011356328,1.176822393,0.820368405,-0.47351191
0.462616469,-0.003836775,0.022075522,1.20325617,0.806005008,-0.525666699
0.36547038,-0.014750777,0.036493403,1.1519425,0.799272522,-0.539927352
0.32584901,-0.020852762,0.042609539,1.11746742,0.792719979,-0.521387935
0.261102452,-0.028715679,0.047696148,1.111246633,0.778553222,-0.530512975
0.28095829,-0.022153839,0.042178646,1.097899555,0.773391443,-0.576034393
0.24481657,-0.028771792,0.040085942,1.07447562,0.824660352,-0.586651268
0.17668437,-0.033120992,0.040205244,1.137605152,0.911636202,-0.565800683
0.101093923,-0.041868835,0.042211677,1.267377036,0.927920477,-0.546195413
-0.035101961,-0.055014468,0.042876615,1.355003246,0.880451517,-0.542920931
-0.239728876,-0.067473028,0.047361619,1.399501589,0.89269287,-0.556419359
-0.390936716,-0.075971689,0.051994543,1.509676015,0.972458464,-0.538082828
-0.499057711,-0.085277094,0.062614461,1.687134036,1.004255351,-0.480132731
-0.560645023,-0.084240044,0.068530291,1.814755,1.023589471,-0.420157541
-0.589797524,-0.070043432,0.071700351,1.810518906,1.001754515,-0.42669914
-0.661271827,-0.05167801,0.075142208,1.719385818,1.083605346,-0.45109147
-0.714847654,-0.023458583,0.071765271,1.669710628,1.207581344,-0.46187819
-0.714308918,0.009698313,0.075915266,1.696105753,1.274440561,-0.470896414
-0.713398074,0.047238133,0.08344664,1.751003455,1.302847032,-0.534695577
-0.545888657,0.070282273,0.102799014,1.925777872,1.376376633,-0.682286276
0.334127683,0.018125675,0.05224231,2.22848726,1.367103277,-0.871666105
1.612532376,-0.103505176,-0.0804427,2.770678632,1.36327019,-0.982748688
3.585240311,-0.299320476,-0.284135927,3.616831138,1.239215219,-1.046767744
5.839192162,-0.51103533,-0.492345005,4.66462959,1.049919291,-1.165330649
8.262125187,-0.751527361,-0.7532091,5.851919375,0.83616935,-1.314924979
10.78107715,-1.016164139,-1.085630754,7.173601768,0.591384622,-1.468842714
13.28232801,-1.269319133,-1.444314452,8.567477884,0.285247095,-1.577171386
15.26246485,-1.476179117,-1.783975977,10.22995238,0.031832682,-1.637196397
16.82035298,-1.609029386,-2.075700618,11.98424359,-0.205080616,-1.764580104
17.3536614,-1.633505726,-2.344712759,13.81137262,-0.417717298,-1.88221457
18.0638795,-1.701132602,-2.574847278,15.75818781,-0.667137977,-1.986790625
18.72479634,-1.784068018,-2.744176665,17.80312465,-1.010665036,-2.046669555
19.423728,-1.869262997,-2.79799398,19.95468337,-1.398828134,-2.141047063
19.4789034,-1.906530938,-2.778850734,22.07226951,-1.751381286,-2.286533326
19.34614543,-1.916651629,-2.698893822,24.08136741,-2.105539936,-2.367778668
19.26515912,-1.930525918,-2.539919187,26.02843394,-2.515112699,-2.377507006
19.45484803,-1.909995663,-2.226286247,27.81302685,-2.839546999,-2.396272172
20.58481879,-1.882564223,-1.849354602,29.50175972,-3.045739637,-2.371482217
22.78145765,-1.888178006,-1.477441245,31.0767875,-3.105555692,-2.381843812
25.09562657,-1.892041655,-1.136970809,32.55660386,-3.018886123,-2.254045281
28.22890784,-1.945361386,-0.815553001,33.93832163,-2.806230093,-2.056530697
31.6501072,-1.960013724,-0.469907613,35.16545996,-2.535788002,-1.922547616
35.25450903,-1.943006214,-0.139688897,36.24842665,-2.183623485,-1.810691997
39.02935099,-1.977718013,0.082154661,37.2009167,-1.749719435,-1.675652955
41.58662371,-1.930783741,0.229736631,38.07865763,-1.275500981,-1.43006119
43.00990056,-1.797983072,0.368831395,38.94183989,-0.792555749,-1.035036382
44.24523238,-1.604321959,0.505261976,39.7309033,-0.287634557,-0.660468897
45.15793862,-1.37019538,0.592371606,40.55298824,0.196676502,-0.295275354
45.8144637,-1.16473525,0.635146702,41.36595696,0.600870769,0.011469225
46.3014962,-0.994895851,0.649488975,42.06938167,0.946171811,0.244921024
46.7357948,-0.846950773,0.671641193,42.66644778,1.268070565,0.406297438
47.03262587,-0.737835112,0.67422495,43.13436904,1.607645752,0.494344948
47.3139546,-0.623064159,0.65123488,43.54601577,1.878460881,0.533791698
47.48171971,-0.521637911,0.565214104,43.90502448,2.128032262,0.510354556
47.5827454,-0.438715677,0.470024302,44.16552619,2.322664766,0.413982955
47.74205142,-0.331047271,0.373847223,44.32853931,2.441636429,0.321279613
47.90455797,-0.192194462,0.231450591,44.50003109,2.486961214,0.258438965
48.06511001,-0.03353153,0.067422605,44.71094209,2.375823087,0.140894653
48.14450621,0.145571156,-0.108164461,44.92221699,2.197518807,-0.034591308
