yaw,pitch,roll,yawt,pitcht,rollt
0.369020633,-0.283098731,-1.029541724,0.52294502,0.44893492,-0.867762495
0.37887888,-0.415622612,-0.934720641,-0.006492355,0.448590671,-0.779327236
0.447891977,-0.388220877,-0.742740318,-0.495326132,0.510396909,-0.677230561
0.474027037,-0.29058091,-0.606549018,-0.853996654,0.634733876,-0.500877372
0.535601527,-0.233383926,-0.463228991,-1.025850594,0.768094111,-0.318239264
0.571997794,-0.268082768,-0.329637722,-1.01380713,0.878730416,-0.203450425
0.70161659,-0.232367788,-0.174910061,-0.83805684,0.961495954,-0.166632831
0.86501989,-3.77E-02,-0.0071515,-0.542208202,0.995276752,-0.204841841
1.007324643,0.269184167,0.035529521,-0.231400137,1.017558072,-0.255054936
1.204525741,0.455551779,0.064817483,0.060371833,1.019917798,-0.265168224
1.428755057,0.508302812,0.091903252,0.298457216,1.021144184,-0.360735931
1.651123514,0.488116152,0.00515345,0.38137058,0.999999448,-0.489485344
1.851409587,0.364901733,-0.088236497,0.378434992,0.977183603,-0.573354734
2.045788607,0.346162292,-0.173926146,0.36048392,0.952549193,-0.545714752
2.145060068,0.232481721,-0.219898382,0.373601305,0.950152925,-0.482762831
2.119711953,-0.019385646,-0.219308313,0.496510562,0.974101441,-0.46322787
2.061535203,-0.219840601,-0.144970773,0.587121819,1.004845642,-0.514273929
2.001124087,-0.279916676,-0.109191881,0.677308205,0.953364632,-0.500481747
1.919228211,-0.292409263,0.004970315,0.882977028,0.895887426,-0.439879588
1.89272785,-0.223503922,0.173532239,1.090564325,0.866995972,-0.392101285
1.749829364,-0.252566569,0.387071003,1.216151938,0.847450741,-0.385341432
1.616764783,-0.238166207,0.534570159,1.186592706,0.832026577,-0.432656245
1.58917076,-0.1708365,0.716938417,1.052879008,0.793905154,-0.42564317
1.49274126,-0.132508763,0.772031361,0.933934515,0.755559274,-0.413454785
1.4148034,-0.06007426,0.761990444,0.816799863,0.765098777,-0.426358358
1.310745931,-0.00652383,0.665173167,0.663301233,0.758987088,-0.482342399
1.184033118,0.003671824,0.460308522,0.480031983,0.765535406,-0.539346009
1.116579623,0.064513238,0.153187336,0.295178253,0.790379186,-0.589912608
1.134104167,0.101153092,-0.03324686,0.215701636,0.807239135,-0.556799006
1.153002086,0.082289282,-0.307605921,0.184825132,0.854367284,-0.54536748
1.1670362,0.164343038,-0.614446832,0.208286456,0.880235094,-0.538043603
1.112804557,0.267851346,-0.850181442,0.207709773,0.844645231,-0.565548469
1.030518883,0.359908765,-0.969644776,0.159586353,0.843124147,-0.566520752
0.94226039,0.392244493,-1.044086483,0.080597059,0.802561929,-0.553682108
0.901413593,0.40289334,-0.947587792,4.66E-05,0.767175136,-0.557200185
0.792439118,0.464388255,-1.049464609,-0.149593368,0.742836036,-0.571684963
0.579169451,0.524176907,-1.116852705,-0.299019435,0.693910451,-0.574893121
0.369753831,0.400196431,-1.065920769,-0.447793395,0.673934297,-0.560248158
0.285143858,0.223719724,-0.942327554,-0.507437712,0.702733075,-0.532216717
0.230232994,0.042904267,-0.906972945,-0.471249264,0.704455933,-0.553700743
0.19813771,0.079116902,-0.927714189,-0.423005982,0.676585559,-0.593007176
0.129510914,-0.013208351,-1.091770888,-0.410996265,0.638179055,-0.585176048
0.10410853,-0.287526141,-1.08586149,-0.400995104,0.599524206,-0.601782622
0.218041998,-0.457243082,-0.950692652,-0.388418917,0.595136924,-0.588762538
0.347020664,-0.385222961,-0.83582554,-0.306342724,0.608562307,-0.546791364
0.387856841,-0.276667912,-0.817547249,-0.198729664,0.626085551,-0.497625884
0.345164223,-0.131950912,-0.806742272,-0.074260552,0.665713356,-0.399718342
0.31959304,-0.173443639,-0.731789535,0.168629169,0.757655273,-0.344109969
0.309642791,-0.142084783,-0.690256986,0.459659815,0.829889896,-0.375633342
0.294315334,-0.06258117,-0.697236618,0.699118065,0.875532546,-0.39442794
0.20882545,-0.127494326,-0.748597717,0.909678565,0.877870325,-0.407543054
0.065705246,-0.214814894,-0.803474358,1.07661628,0.845277131,-0.441035944
-0.059046379,-0.261542715,-0.763317591,1.176822393,0.820368405,-0.47351191
-0.071068937,-0.316358872,-0.613297044,1.20325617,0.806005008,-0.525666699
-0.071446694,-0.21443933,-0.49008633,1.1519425,0.799272522,-0.539927352
-0.036829143,-0.13032669,-0.4108675,1.11746742,0.792719979,-0.521387935
-0.05363534,-0.087140112,-0.367512488,1.111246633,0.778553222,-0.530512975
-0.039339936,0.126533765,-0.301618916,1.097899555,0.773391443,-0.576034393
-0.046370157,0.199739876,-0.249844575,1.07447562,0.824660352,-0.586651268
-0.077817993,0.262833008,-0.302033141,1.137605152,0.911636202,-0.565800683
-0.172291846,0.356308135,-0.321965149,1.267377036,0.927920477,-0.546195413
-0.222150772,0.371546872,-0.355314955,1.355003246,0.880451517,-0.542920931
-0.280138623,0.456254001,-0.40764052,1.399501589,0.89269287,-0.556419359
-0.205804636,0.60060501,-0.430558651,1.509676015,0.972458464,-0.538082828
-0.110308956,0.587459835,-0.58221261,1.687134036,1.004255351,-0.480132731
-0.011423794,0.505860381,-0.740610981,1.814755,1.023589471,-0.420157541
0.10294913,0.398862678,-0.758803432,1.810518906,1.001754515,-0.42669914
0.171805556,0.341376454,-0.806362457,1.719385818,1.083605346,-0.45109147
0.223575901,0.318214279,-0.829645232,1.669710628,1.207581344,-0.46187819
0.327620236,0.340476079,-0.764182227,1.696105753,1.274440561,-0.470896414
0.385514221,0.444492001,-0.640114672,1.751003455,1.302847032,-0.534695577
0.510322988,0.65128725,-0.415893841,1.925777872,1.376376633,-0.682286276
0.718278868,0.997756673,-0.285347174,2.22848726,1.367103277,-0.871666105
0.88746854,1.240289921,-0.32112822,2.770678632,1.36327019,-0.982748688
1.094278726,1.297229168,-0.372622084,3.616831138,1.239215219,-1.046767744
1.298534077,1.273614513,-0.444837763,4.66462959,1.049919291,-1.165330649
1.452344184,1.194332198,-0.540731876,5.851919375,0.83616935,-1.314924979
1.552117948,1.035007866,-0.737974783,7.173601768,0.591384622,-1.468842714
1.567018478,0.915747834,-0.894741326,8.567477884,0.285247095,-1.577171386
1.567792858,0.865415209,-0.982386548,10.22995238,0.031832682,-1.637196397
1.614958236,0.866330625,-1.064454091,11.98424359,-0.205080616,-1.764580104
1.69456217,0.863144716,-1.208007805,13.81137262,-0.417717298,-1.88221457
1.769006916,0.887566571,-1.302345785,15.75818781,-0.667137977,-1.986790625
1.961109456,0.957647446,-1.279988407,17.80312465,-1.010665036,-2.046669555
2.246669366,1.074494409,-1.228061611,19.95468337,-1.398828134,-2.141047063
2.626665423,1.019436355,-1.222055453,22.07226951,-1.751381286,-2.286533326
3.063655724,0.829158876,-1.238320966,24.08136741,-2.105539936,-2.367778668
3.671939471,0.740405217,-1.255188842,26.02843394,-2.515112699,-2.377507006
4.480115253,0.716628831,-1.224864351,27.81302685,-2.839546999,-2.396272172
5.420247528,0.637521658,-1.142207849,29.50175972,-3.045739637,-2.371482217
6.540991383,0.550816678,-1.134282173,31.0767875,-3.105555692,-2.381843812
7.904246408,0.428769786,-1.239728098,32.55660386,-3.018886123,-2.254045281
9.546969271,0.466200459,-1.430332859,33.93832163,-2.806230093,-2.056530697
11.73622848,0.316481443,-1.621607059,35.16545996,-2.535788002,-1.922547616
14.3869299,0.028976911,-1.811753412,36.24842665,-2.183623485,-1.810691997
