yaw,pitch,roll,yawt,pitcht,rollt
0.158208764,0.667694153,-0.856546503,0.52294502,0.44893492,-0.867762495
-0.054529391,0.622850263,-0.833701998,-0.006492355,0.448590671,-0.779327236
-0.255627576,0.61831434,-0.752614377,-0.495326132,0.510396909,-0.677230561
-0.438596714,0.614811214,-0.735406002,-0.853996654,0.634733876,-0.500877372
-0.623497544,0.631110518,-0.716654793,-1.025850594,0.768094111,-0.318239264
-0.810108379,0.62006451,-0.682214188,-1.01380713,0.878730416,-0.203450425
-0.831760599,0.62515377,-0.585421093,-0.83805684,0.961495954,-0.166632831
-0.717806449,0.66390961,-0.462658042,-0.542208202,0.995276752,-0.204841841
-0.527347635,0.796514684,-0.408504278,-0.231400137,1.017558072,-0.255054936
-0.154953238,0.901155691,-0.356710636,0.060371833,1.019917798,-0.265168224
0.327809215,0.992852664,-0.297007278,0.298457216,1.021144184,-0.360735931
0.819216496,1.014629421,-0.307887149,0.38137058,0.999999448,-0.489485344
1.236019854,0.989169915,-0.406666353,0.378434992,0.977183603,-0.573354734
1.605615008,1.024135773,-0.568667928,0.36048392,0.952549193,-0.545714752
1.915063058,1.025748858,-0.72740221,0.373601305,0.950152925,-0.482762831
2.145810639,0.912430615,-0.878029904,0.496510562,0.974101441,-0.46322787
2.199349682,0.799118828,-0.997664063,0.587121819,1.004845642,-0.514273929
2.087926284,0.731628203,-1.105935732,0.677308205,0.953364632,-0.500481747
1.975207494,0.717791817,-1.168068029,0.882977028,0.895887426,-0.439879588
1.922270472,0.731376446,-1.172549302,1.090564325,0.866995972,-0.392101285
1.741824635,0.657179961,-1.153484409,1.216151938,0.847450741,-0.385341432
1.484902161,0.577527171,-1.141742995,1.186592706,0.832026577,-0.432656245
1.228963989,0.536117052,-1.068861701,1.052879008,0.793905154,-0.42564317
0.960092235,0.494503647,-1.017718189,0.933934515,0.755559274,-0.413454785
0.665680521,0.46536232,-0.976927011,0.816799863,0.765098777,-0.426358358
0.217061046,0.446809291,-0.883207265,0.663301233,0.758987088,-0.482342399
-0.325608938,0.456783703,-0.782775012,0.480031983,0.765535406,-0.539346009
-0.767352689,0.537772555,-0.653579549,0.295178253,0.790379186,-0.589912608
-1.053095456,0.668407402,-0.476953546,0.215701636,0.807239135,-0.556799006
-1.152192081,0.793110932,-0.309194658,0.184825132,0.854367284,-0.54536748
-1.067784208,0.888455003,-0.217844424,0.208286456,0.880235094,-0.538043603
