yaw,pitch,roll
0.357884478,-0.021705048,-0.040324822
0.230071311,-0.027065965,-0.027748417
0.018169927,-0.026984699,-0.015301956
-0.131278323,-0.034781344,-0.010188708
-0.234567488,-0.038638892,0.003078536
-0.193494722,-0.039239394,0.014924593
-0.110440532,-0.033593899,0.021623628
0.174021389,-0.018677158,0.012460989
0.512042871,0.001769407,-0.006321084
0.917528032,0.023621638,-0.020707181
1.331353702,0.051367831,-0.037172264
1.679412807,0.071518215,-0.060249583
1.959522859,0.088117985,-0.071270096
2.239572319,0.108172759,-0.082289548
2.296901124,0.119137719,-0.084972047
2.258172712,0.115637679,-0.071558111
2.142474232,0.105486466,-0.065604952
2.047039621,0.09351511,-0.058078544
1.975322989,0.084928457,-0.045900435
1.744650304,0.07499709,-0.038874132
1.441856588,0.056632525,-0.031044309
1.138996917,0.034417923,-0.017204837
0.902801667,0.016395545,-0.017193937
0.569427884,-0.005658768,-0.01316916
0.350760095,-0.018578995,-0.01282618
0.089329829,-0.032862885,-0.013284643
-0.009598868,-0.049010094,-0.01491643
-0.049180226,-0.058959619,-0.011006411
-0.011938901,-0.049882613,-0.018214399
0.099649282,-0.026835138,-0.027365338
0.378953594,0.003012409,-0.034667558
0.551434915,0.019921208,-0.039387749
0.672270739,0.026811789,-0.029177153
0.814075507,0.034411281,-0.016001942
0.971011669,0.05010332,-0.02170757
1.104843711,0.054775879,-0.024293481
1.068595118,0.046749995,-0.015006397
1.023599188,0.035636602,-0.004404915
1.012898027,0.030619484,0.003316699
1.171604849,0.037031386,-0.008860893
1.308405939,0.048888197,-0.029727196
1.379059799,0.047653465,-0.028687159
1.363403168,0.043333224,-0.022110552
1.438260904,0.038128094,-0.024584427
1.544362319,0.0371758,-0.030144417
1.545326872,0.027207094,-0.025008072
1.503455178,0.013963589,-0.013674259
1.404693849,-0.002266933,-0.003847589
1.344038904,-0.011027647,-0.006755416
1.311047664,-0.013251955,-0.011935795
1.243568319,-0.014115373,-0.012436506
1.150031882,-0.016538046,-0.017116107
1.090145088,-0.01596741,-0.020859893
1.071197825,-0.017028622,-0.028577296
1.143742669,-0.017180011,-0.034613504
1.140055305,-0.023158712,-0.042707852
1.176721134,-0.035847047,-0.05048841
1.166701069,-0.046396127,-0.061537431
1.109969078,-0.054977895,-0.06489299
1.081415252,-0.059459264,-0.073419136
0.951565692,-0.065248822,-0.076504423
0.774153217,-0.069701901,-0.071231927
0.665330342,-0.072221949,-0.057290497
0.575155138,-0.06782315,-0.043080421
0.512159615,-0.061531485,-0.025591616
0.441706478,-0.057957052,-0.016459678
0.271429668,-0.058184552,-0.003243007
0.143498899,-0.055057029,0.005139402
0.034999011,-0.051033451,0.019992667
-0.005727302,-0.046453033,0.026191804
0.017357961,-0.043397244,0.033976139
0.108920894,-0.043781677,0.045986874
0.338760769,-0.035603519,0.059008373
0.660854418,-0.022646945,0.06894976
0.933879818,-0.013778165,0.084221723
1.162939771,-0.011138915,0.092327291
1.316804779,-0.024832621,0.108502274
1.496022237,-0.025059597,0.104285755
1.748272731,-0.012842281,0.065142878
1.958360265,-0.022807106,0.027838505
2.569492921,-0.065682911,-0.055838333
3.378396265,-0.104588785,-0.179020085
4.359318764,-0.140610143,-0.333029576
5.464097132,-0.168536492,-0.524572896
6.733012098,-0.225380178,-0.741877436
8.28803021,-0.324719547,-0.947211107
9.993742966,-0.418442309,-1.146911738
11.47943578,-0.498964857,-1.322238802
12.93607298,-0.58164588,-1.452923718
14.38074705,-0.687965905,-1.562872784
15.93364589,-0.846412996,-1.658334797
17.69992349,-1.055886481,-1.708725336
19.30311251,-1.276051344,-1.735826809
21.22585991,-1.570899719,-1.776901225
22.96701747,-1.824176256,-1.760332604
24.9285267,-2.164467244,-1.786406354
26.88269364,-2.450818995,-1.769682698
29.15264033,-2.680316121,-1.730600521
31.35236288,-2.797133032,-1.654062232
33.23256227,-2.794985666,-1.535113889
34.69974787,-2.72465287,-1.409246422
36.40493743,-2.656331953,-1.299728047
37.79155249,-2.554193676,-1.177496947
39.12755829,-2.39416962,-1.048110033
39.83897609,-2.1236564,-0.879647466
40.341271,-1.804799323,-0.717737316
41.14870254,-1.508487892,-0.589446282
42.02208953,-1.148724333,-0.438835875
42.6677099,-0.786412971,-0.293266636
43.12888886,-0.350838044,-0.116726984
43.79412878,-0.001754314,0.002089508
44.55708333,0.230504106,0.072337162
45.28779935,0.365136868,0.080417593
45.8372898,0.420738309,0.045582295
46.32662335,0.398398293,-0.026627185
46.87628477,0.359228701,-0.128647477
47.38380733,0.260414814,-0.276469218
47.68462338,0.158981689,-0.413851152
47.89891885,0.061714932,-0.557854624
47.82288264,-0.039708634,-0.683100855
47.5912823,-0.105416822,-0.778702567
47.41334255,-0.105833569,-0.846660518
47.3328815,-0.110785363,-0.91231154
47.41615644,-0.064509058,-0.944959811
47.14268877,0.013427771,-0.962448965
46.42106772,0.127989385,-0.952745265
45.10854539,0.269099331,-0.933198186
43.45528197,0.42933605,-0.886894294
41.64422138,0.546978239,-0.848473964
39.45262882,0.673333792,-0.797292161
37.27194577,0.804733929,-0.750858394
35.1240147,0.91516114,-0.701287972
33.15763727,0.997915777,-0.656337421
31.68286849,1.06679286,-0.613633194
30.46255831,1.112286614,-0.607557032
28.98306169,1.164887068,-0.602374907
27.52825119,1.216161183,-0.599486828
25.65066907,1.256083876,-0.592893631
23.70760161,1.300469132,-0.602473828
21.78114894,1.327583082,-0.625608117
19.80905869,1.336561625,-0.65195569
17.76466252,1.389664536,-0.689072349
15.69413357,1.458182693,-0.741906538
13.43436381,1.47835877,-0.794126922
11.46496055,1.470743538,-0.838704777
9.646478749,1.436554108,-0.883622716
8.064827253,1.414412917,-0.937990579
6.680377235,1.401106303,-1.004169867
5.398169495,1.328686339,-1.045718662
4.309211324,1.22537006,-1.067511007
3.551136751,1.135697802,-1.092002328
2.998318007,1.056196826,-1.137118561
2.492495897,0.978651274,-1.173247144
1.940197138,0.883950153,-1.173275414
1.425571112,0.78140114,-1.13931918
0.963628662,0.665111077,-1.086887536
0.650774075,0.554664389,-1.010717886
0.319602757,0.471923682,-0.942972359
-0.221886762,0.394627985,-0.865754405
-0.718293781,0.32196289,-0.784374401
-1.214832355,0.259857973,-0.725157342
-1.684336178,0.206286137,-0.670927021
-1.943122906,0.179107179,-0.629976489
-2.351782656,0.154712769,-0.616502272
-2.797133073,0.132798705,-0.575837947
-3.030266478,0.117031041,-0.521840865
-3.200265149,0.106944042,-0.476651844
-3.208445131,0.095572458,-0.432146224
-3.146363888,0.065411328,-0.365180881
-3.046246156,0.01813952,-0.301384284
-2.885106686,-0.034820877,-0.232154636
-2.704415698,-0.090376724,-0.168395408
-2.558961261,-0.14326965,-0.124409076
-2.297244462,-0.186222931,-0.092827512
-2.068781775,-0.214653817,-0.060705899
-1.747635763,-0.206673461,-0.076798381
-1.464150411,-0.180621003,-0.096989687
-1.095805653,-0.143218598,-0.121769055
-0.554988521,-0.127287131,-0.180400637
-0.082752972,-0.106002658,-0.216392555
-0.063576781,-0.094201747,-0.213638043
0.143259011,-0.084705866,-0.224520631
0.017807212,-0.098773862,-0.211841028
