yaw,pitch,roll
1.031295734,-0.420305145,-1.006242959
1.061910601,-0.342739686,-0.860378415
1.034456621,-0.216969511,-0.774435723
1.040568354,-0.118457492,-0.675284589
1.025170524,-0.114945286,-0.591515393
1.095196859,-0.059667958,-0.460257361
1.207702913,0.133232813,-0.310531654
1.306872676,0.419341509,-0.278572106
1.46301295,0.594418029,-0.210627927
1.662539093,0.665492143,-0.135915261
1.863108851,0.6604227,-0.173578422
2.054452084,0.558445622,-0.243676083
2.250039979,0.572018321,-0.338675338
2.362097174,0.492047922,-0.41957438
2.36767892,0.272821466,-0.47757345
2.344338899,0.090856422,-0.478149929
2.310920181,0.036097306,-0.520333109
2.253375449,0.035697563,-0.48984319
2.244910543,0.113101982,-0.38999452
2.122961193,0.061561881,-0.259965956
1.989129433,0.05534457,-0.190372439
1.917008921,0.095949957,-0.054488858
1.75086808,0.09610586,-0.057630862
1.583810159,0.135403278,-0.121264845
1.379610773,0.158052226,-0.206880839
1.146608646,0.145219385,-0.378885048
0.97077792,0.212430828,-0.607364236
0.90014814,0.27510667,-0.708086359
0.875099454,0.287872869,-0.895672802
0.879336814,0.399268224,-1.085965688
0.837996716,0.508214542,-1.217447189
0.789218607,0.606331214,-1.287419281
0.71529927,0.659884155,-1.332273986
0.69168234,0.689375467,-1.218808754
0.599460527,0.760255974,-1.289423464
0.410380423,0.819110508,-1.336720221
0.230570071,0.718179286,-1.267231475
0.177794477,0.579724738,-1.105869646
0.150093687,0.430819802,-1.034371156
0.163073504,0.475529745,-0.992278334
0.121302114,0.41961302,-1.106829622
0.121183763,0.190678218,-1.064989052
0.250397837,0.068411066,-0.905071346
0.379442933,0.153931392,-0.77244532
0.414081821,0.260829339,-0.740242745
0.356332506,0.385276671,-0.724558346
0.314441057,0.327432363,-0.65326755
0.292488121,0.331166028,-0.62454476
0.265466811,0.38180003,-0.630508249
0.181494483,0.295285823,-0.673835638
0.048384874,0.195338805,-0.736602157
-0.063931566,0.145279301,-0.715679265
-0.057696361,0.107859756,-0.577553546
-0.046098897,0.230851499,-0.46749547
-0.006182751,0.328079633,-0.375295315
-0.023631074,0.383477233,-0.342420527
-0.030406117,0.595355747,-0.290313618
-0.067446756,0.653729999,-0.247988361
-0.124352111,0.698179599,-0.305215119
-0.24372336,0.762188637,-0.33458017
-0.319136863,0.759779559,-0.357162433
-0.402512577,0.807909291,-0.396790166
-0.364392296,0.90240871,-0.396642253
-0.301790953,0.854493542,-0.525834089
-0.235895887,0.761672717,-0.680280321
-0.154472356,0.642769985,-0.69328198
-0.113749333,0.563711738,-0.736369661
-0.077029254,0.511366958,-0.75610822
0.013172657,0.509907768,-0.689682903
0.05701998,0.58714995,-0.567171022
0.162191557,0.766267191,-0.338456266
0.341550441,1.067199578,-0.183552387
0.474883087,1.282025595,-0.197766468
0.634641896,1.337988797,-0.240638552
0.800845043,1.312813282,-0.300060388
0.933602616,1.232143778,-0.376687678
1.044589103,1.072720261,-0.536626355
1.088287024,0.980236335,-0.691609512
1.124781709,0.962709718,-0.77978267
1.205422591,0.976589906,-0.857026476
1.294741036,0.984037242,-1.011894552
1.350360457,1.021911056,-1.136455158
1.494563126,1.11673588,-1.156246753
1.693175906,1.268566986,-1.155399783
1.934622727,1.225445883,-1.171676025
2.198949966,1.02815146,-1.213956687
2.579771999,0.941525136,-1.249058148
3.137789229,0.9394705,-1.198379725
3.784411996,0.889903058,-1.097758984
4.507687813,0.836096567,-1.053353722
5.3522507,0.744357639,-1.106039465
6.373844899,0.820094058,-1.218822714
7.771776341,0.77434468,-1.301979096
9.466126894,0.606077105,-1.38870767
11.41788899,0.408832918,-1.629089724
13.81896846,0.218508597,-1.980457299
16.45741883,-0.09838088,-2.3676029
19.60275807,-0.448100405,-2.610331128
22.976556,-0.950281641,-2.860339305
26.4631142,-1.297938459,-3.194955673
29.95507373,-1.633590504,-3.549106962
33.42848273,-1.963964407,-3.868386928
36.92800961,-2.284826557,-4.214951182
40.47016672,-2.487865054,-4.585242459
43.60272297,-2.653254386,-4.976313573
46.59019638,-2.813594838,-5.358829871
49.20423131,-2.977470351,-5.689682314
51.51414014,-3.189050808,-5.91710704
53.48971886,-3.340453002,-6.149662486
54.7821448,-3.391663146,-6.249872009
55.55100687,-3.478161133,-6.188611987
55.84355334,-3.517335041,-6.241343546
55.62672512,-3.388122025,-6.173928164
55.07704831,-3.211055241,-6.067969723
54.23202699,-2.816326872,-5.906759565
53.23787885,-2.300419749,-5.531183682
52.16930243,-1.795241746,-5.254090199
51.17083671,-1.225816437,-4.971703727
50.35353528,-0.567630027,-4.521729699
49.76029409,0.117924696,-4.092057315
49.42849615,0.781268168,-3.577099629
49.2023202,1.281889738,-3.034587078
49.00402856,1.694110032,-2.628853435
48.85457677,2.069901257,-2.274810213
48.49865038,2.222050984,-2.012494814
47.95589952,2.306999865,-1.831254337
47.24388784,2.418278729,-1.783944135
46.29658786,2.462435534,-1.797617642
45.29699519,2.451852304,-1.86686134
44.19261531,2.488822338,-1.993961243
43.03405733,2.415244787,-2.167622207
41.90728143,2.339716796,-2.380106002
40.80361201,2.151168499,-2.593752428
39.70918447,1.80323734,-2.827760095
38.49755729,1.58742692,-3.028169211
37.15572994,1.437721629,-3.227725215
35.59380772,1.208805085,-3.390839877
33.59429907,0.923157334,-3.475837478
31.28982689,0.680288593,-3.48504471
28.45919883,0.585050114,-3.457592249
25.09733976,0.616158764,-3.286392064
21.35689063,0.64836299,-2.982940671
17.33872339,0.693155234,-2.779496835
13.36129991,0.641557772,-2.674363039
9.508493757,0.722478155,-2.523712563
5.500069701,1.011543636,-2.341805499
1.91655938,1.277824147,-2.116044734
-1.150830866,1.410173828,-2.049190174
-3.734318199,1.585079913,-2.341800224
-6.044688276,1.861896458,-2.688755362
-8.338433789,2.286372836,-2.971905224
-10.17803924,2.756010253,-3.093582449
-11.40314649,3.060076351,-3.146942667
-12.44100075,3.29850212,-3.195697384
-13.46969863,3.604312203,-2.998067485
-14.38210601,3.785552854,-2.529953674
-14.89582146,3.797116842,-1.919942445
-15.00921235,3.532114216,-1.284482729
-15.18151941,3.105624457,-0.809662546
-15.33733264,2.610622621,-0.397185194
-15.41492375,2.103397759,0.000286725
-15.15393343,1.5075685,0.293342388
-14.63258388,0.814056236,0.478806631
-14.11518424,0.109643017,0.613822933
-13.44791279,-0.49845119,0.788149056
-12.41501443,-0.977081812,1.02012104
-11.16792412,-1.306013034,1.284738976
-9.6599138,-1.669633628,1.446611486
-8.162157567,-2.014195596,1.458525075
-6.71850293,-2.255532656,1.384722241
-5.307948621,-2.543203276,1.243498496
-4.032749249,-2.78428713,0.990039808
-3.054028716,-3.009769429,0.586466956
-2.184231381,-3.154520179,0.127642097
-1.505852051,-3.107886222,-0.291860477
