yaw,pitch,roll
-0.056968617,0.623608828,-0.825927384
-0.258066802,0.619072905,-0.744839763
-0.44103594,0.615569779,-0.727631388
-0.62593677,0.631869083,-0.708880179
-0.812547605,0.620823075,-0.674439574
-0.834199825,0.625912335,-0.577646479
-0.720245675,0.664668175,-0.454883428
-0.529786861,0.797273249,-0.400729664
-0.157392464,0.901914256,-0.348936022
0.325369989,0.993611229,-0.289232664
0.81677727,1.015387986,-0.300112535
1.233580628,0.98992848,-0.398891739
1.603175782,1.024894338,-0.560893314
1.912623832,1.026507423,-0.719627596
2.143371413,0.91318918,-0.87025529
2.196910456,0.799877393,-0.989889449
2.085487058,0.732386768,-1.098161118
1.972768268,0.718550382,-1.160293415
1.919831246,0.732135011,-1.164774688
1.739385409,0.657938526,-1.145709795
1.482462935,0.578285736,-1.133968381
1.226524763,0.536875617,-1.061087087
0.957653009,0.495262212,-1.009943575
0.663241295,0.466120885,-0.969152397
0.21462182,0.447567856,-0.875432651
-0.328048164,0.457542268,-0.775000398
-0.769791915,0.53853112,-0.645804935
-1.055534682,0.669165967,-0.469178932
-1.154631307,0.793869497,-0.301420044
-1.070223434,0.889213568,-0.21006981
-0.817171665,0.956028186,-0.198263391
-0.46619167,0.98256196,-0.258290706
-0.149250224,0.998152478,-0.31462562
0.145408306,0.999385571,-0.331534988
0.357850552,0.994240358,-0.431629408
0.417112468,0.986175033,-0.546073568
0.382268226,0.960321122,-0.629946679
0.356417223,0.942628997,-0.585929088
0.387943789,0.932954764,-0.53448963
0.539512218,0.967495751,-0.523495097
0.620147983,0.998090551,-0.585585813
0.713071839,0.942547308,-0.573471027
0.94085551,0.88160787,-0.536775863
1.145522799,0.867082585,-0.485894092
1.23804616,0.842926562,-0.5005524
1.15825369,0.846939394,-0.527549932
0.995218515,0.804254224,-0.510650671
0.881440358,0.773053452,-0.492252913
0.759437476,0.787018622,-0.510881094
0.586492642,0.779587937,-0.544517107
0.407403208,0.775422047,-0.603670203
0.239050608,0.803047962,-0.632702155
0.185419459,0.8057275,-0.61358385
0.159226083,0.847904193,-0.605479184
0.175774365,0.855660795,-0.605336011
0.155679019,0.82134317,-0.611757323
0.089859535,0.805636966,-0.634050398
0.011814663,0.771062765,-0.60830292
-0.077681337,0.724948295,-0.630038363
-0.230860934,0.70184297,-0.648915638
-0.378528145,0.667448706,-0.634990625
-0.527445718,0.650150909,-0.617749975
-0.548201597,0.68599257,-0.594846176
-0.500246821,0.691675277,-0.612298535
