yaw,pitch,roll,yawt,pitcht,rollt
0.357884478,-0.021705048,-0.040324822,2.146870192,0.833881402,-0.896864733
0.230071311,-0.027065965,-0.027748417,2.083761456,0.740565295,-1.034436264
0.018169927,-0.026984699,-0.015301956,1.989102329,0.711574809,-1.121361731
-0.131278323,-0.034781344,-0.010188708,1.956814678,0.720143129,-1.136168397
-0.234567488,-0.038638892,0.003078536,1.846467225,0.665702693,-1.132841517
-0.193494722,-0.039239394,0.014924593,1.625153322,0.589034498,-1.12479804
-0.110440532,-0.033593899,0.021623628,1.400232201,0.540077969,-1.065814442
0.174021389,-0.018677158,0.012460989,1.160578446,0.492544983,-1.019854412
0.512042871,0.001769407,-0.006321084,0.896714671,0.467940926,-0.967461868
0.917528032,0.023621638,-0.020707181,0.510496333,0.444339976,-0.888371755
1.331353702,0.051367831,-0.037172264,-0.018941042,0.443995727,-0.799936496
1.679412807,0.071518215,-0.060249583,-0.507774819,0.505801965,-0.697839821
1.959522859,0.088117985,-0.071270096,-0.866445341,0.630138932,-0.521486632
2.239572319,0.108172759,-0.082289548,-1.038299281,0.763499167,-0.338848524
2.296901124,0.119137719,-0.084972047,-1.026255817,0.874135472,-0.224059685
2.258172712,0.115637679,-0.071558111,-0.850505527,0.95690101,-0.187242091
2.142474232,0.105486466,-0.065604952,-0.554656889,0.990681808,-0.225451101
2.047039621,0.09351511,-0.058078544,-0.243848824,1.012963128,-0.275664196
1.975322989,0.084928457,-0.045900435,0.047923146,1.015322854,-0.285777484
1.744650304,0.07499709,-0.038874132,0.286008529,1.01654924,-0.381345191
1.441856588,0.056632525,-0.031044309,0.368921893,0.995404504,-0.510094604
1.138996917,0.034417923,-0.017204837,0.365986305,0.972588659,-0.593963994
0.902801667,0.016395545,-0.017193937,0.348035233,0.947954249,-0.566324012
0.569427884,-0.005658768,-0.01316916,0.361152618,0.945557981,-0.503372091
0.350760095,-0.018578995,-0.01282618,0.484061875,0.969506497,-0.48383713
0.089329829,-0.032862885,-0.013284643,0.574673132,1.000250698,-0.534883189
-0.009598868,-0.049010094,-0.01491643,0.664859518,0.948769688,-0.521091007
-0.049180226,-0.058959619,-0.011006411,0.870528341,0.891292482,-0.460488848
-0.011938901,-0.049882613,-0.018214399,1.078115638,0.862401028,-0.412710545
0.099649282,-0.026835138,-0.027365338,1.203703251,0.842855797,-0.405950692
0.378953594,0.003012409,-0.034667558,1.174144019,0.827431633,-0.453265505
0.551434915,0.019921208,-0.039387749,1.040430321,0.78931021,-0.44625243
0.672270739,0.026811789,-0.029177153,0.921485828,0.75096433,-0.434064045
0.814075507,0.034411281,-0.016001942,0.804351176,0.760503833,-0.446967618
0.971011669,0.05010332,-0.02170757,0.650852546,0.754392144,-0.502951659
1.104843711,0.054775879,-0.024293481,0.467583296,0.760940462,-0.559955269
1.068595118,0.046749995,-0.015006397,0.282729566,0.785784242,-0.610521868
1.023599188,0.035636602,-0.004404915,0.203252949,0.802644191,-0.577408266
1.012898027,0.030619484,0.003316699,0.172376445,0.84977234,-0.56597674
1.171604849,0.037031386,-0.008860893,0.195837769,0.87564015,-0.558652863
1.308405939,0.048888197,-0.029727196,0.195261086,0.840050287,-0.586157729
1.379059799,0.047653465,-0.028687159,0.147137666,0.838529203,-0.587130012
1.363403168,0.043333224,-0.022110552,0.068148372,0.797966985,-0.574291368
1.438260904,0.038128094,-0.024584427,-0.012402047,0.762580192,-0.577809445
1.544362319,0.0371758,-0.030144417,-0.162042055,0.738241092,-0.592294223
1.545326872,0.027207094,-0.025008072,-0.311468122,0.689315507,-0.595502381
1.503455178,0.013963589,-0.013674259,-0.460242082,0.669339353,-0.580857418
1.404693849,-0.002266933,-0.003847589,-0.519886399,0.698138131,-0.552825977
1.344038904,-0.011027647,-0.006755416,-0.483697951,0.699860989,-0.574310003
1.311047664,-0.013251955,-0.011935795,-0.435454669,0.671990615,-0.613616436
