yaw,pitch,roll,yawt,pitcht,rollt
1.031295734,-0.420305145,-1.006242959,2.146870192,0.833881402,-0.896864733
1.061910601,-0.342739686,-0.860378415,2.083761456,0.740565295,-1.034436264
1.034456621,-0.216969511,-0.774435723,1.989102329,0.711574809,-1.121361731
1.040568354,-0.118457492,-0.675284589,1.956814678,0.720143129,-1.136168397
1.025170524,-0.114945286,-0.591515393,1.846467225,0.665702693,-1.132841517
1.095196859,-0.059667958,-0.460257361,1.625153322,0.589034498,-1.12479804
1.207702913,0.133232813,-0.310531654,1.400232201,0.540077969,-1.065814442
1.306872676,0.419341509,-0.278572106,1.160578446,0.492544983,-1.019854412
1.46301295,0.594418029,-0.210627927,0.896714671,0.467940926,-0.967461868
1.662539093,0.665492143,-0.135915261,0.510496333,0.444339976,-0.888371755
1.863108851,0.6604227,-0.173578422,-0.018941042,0.443995727,-0.799936496
2.054452084,0.558445622,-0.243676083,-0.507774819,0.505801965,-0.697839821
2.250039979,0.572018321,-0.338675338,-0.866445341,0.630138932,-0.521486632
2.362097174,0.492047922,-0.41957438,-1.038299281,0.763499167,-0.338848524
2.36767892,0.272821466,-0.47757345,-1.026255817,0.874135472,-0.224059685
2.344338899,0.090856422,-0.478149929,-0.850505527,0.95690101,-0.187242091
2.310920181,0.036097306,-0.520333109,-0.554656889,0.990681808,-0.225451101
2.253375449,0.035697563,-0.48984319,-0.243848824,1.012963128,-0.275664196
2.244910543,0.113101982,-0.38999452,0.047923146,1.015322854,-0.285777484
2.122961193,0.061561881,-0.259965956,0.286008529,1.01654924,-0.381345191
1.989129433,0.05534457,-0.190372439,0.368921893,0.995404504,-0.510094604
1.917008921,0.095949957,-0.054488858,0.365986305,0.972588659,-0.593963994
1.75086808,0.09610586,-0.057630862,0.348035233,0.947954249,-0.566324012
1.583810159,0.135403278,-0.121264845,0.361152618,0.945557981,-0.503372091
1.379610773,0.158052226,-0.206880839,0.484061875,0.969506497,-0.48383713
1.146608646,0.145219385,-0.378885048,0.574673132,1.000250698,-0.534883189
0.97077792,0.212430828,-0.607364236,0.664859518,0.948769688,-0.521091007
0.90014814,0.27510667,-0.708086359,0.870528341,0.891292482,-0.460488848
0.875099454,0.287872869,-0.895672802,1.078115638,0.862401028,-0.412710545
0.879336814,0.399268224,-1.085965688,1.203703251,0.842855797,-0.405950692
0.837996716,0.508214542,-1.217447189,1.174144019,0.827431633,-0.453265505
0.789218607,0.606331214,-1.287419281,1.040430321,0.78931021,-0.44625243
0.71529927,0.659884155,-1.332273986,0.921485828,0.75096433,-0.434064045
0.69168234,0.689375467,-1.218808754,0.804351176,0.760503833,-0.446967618
0.599460527,0.760255974,-1.289423464,0.650852546,0.754392144,-0.502951659
0.410380423,0.819110508,-1.336720221,0.467583296,0.760940462,-0.559955269
0.230570071,0.718179286,-1.267231475,0.282729566,0.785784242,-0.610521868
