yaw,pitch,roll,yawt,pitcht,rollt
-0.056968617,0.623608828,-0.825927384,2.146870192,0.833881402,-0.896864733
-0.258066802,0.619072905,-0.744839763,2.083761456,0.740565295,-1.034436264
-0.44103594,0.615569779,-0.727631388,1.989102329,0.711574809,-1.121361731
-0.62593677,0.631869083,-0.708880179,1.956814678,0.720143129,-1.136168397
-0.812547605,0.620823075,-0.674439574,1.846467225,0.665702693,-1.132841517
-0.834199825,0.625912335,-0.577646479,1.625153322,0.589034498,-1.12479804
-0.720245675,0.664668175,-0.454883428,1.400232201,0.540077969,-1.065814442
-0.529786861,0.797273249,-0.400729664,1.160578446,0.492544983,-1.019854412
-0.157392464,0.901914256,-0.348936022,0.896714671,0.467940926,-0.967461868
0.325369989,0.993611229,-0.289232664,0.510496333,0.444339976,-0.888371755
0.81677727,1.015387986,-0.300112535,-0.018941042,0.443995727,-0.799936496
1.233580628,0.98992848,-0.398891739,-0.507774819,0.505801965,-0.697839821
1.603175782,1.024894338,-0.560893314,-0.866445341,0.630138932,-0.521486632
1.912623832,1.026507423,-0.719627596,-1.038299281,0.763499167,-0.338848524
2.143371413,0.91318918,-0.87025529,-1.026255817,0.874135472,-0.224059685
2.196910456,0.799877393,-0.989889449,-0.850505527,0.95690101,-0.187242091
2.085487058,0.732386768,-1.098161118,-0.554656889,0.990681808,-0.225451101
1.972768268,0.718550382,-1.160293415,-0.243848824,1.012963128,-0.275664196
1.919831246,0.732135011,-1.164774688,0.047923146,1.015322854,-0.285777484
1.739385409,0.657938526,-1.145709795,0.286008529,1.01654924,-0.381345191
1.482462935,0.578285736,-1.133968381,0.368921893,0.995404504,-0.510094604
1.226524763,0.536875617,-1.061087087,0.365986305,0.972588659,-0.593963994
0.957653009,0.495262212,-1.009943575,0.348035233,0.947954249,-0.566324012
0.663241295,0.466120885,-0.969152397,0.361152618,0.945557981,-0.503372091
0.21462182,0.447567856,-0.875432651,0.484061875,0.969506497,-0.48383713
-0.328048164,0.457542268,-0.775000398,0.574673132,1.000250698,-0.534883189
