yaw,pitch,roll,yawt,pitcht,rollt
0.058988611,0.612570296,-0.859079913,2.146870192,0.833881402,-0.896864733
-0.141220709,0.603749169,-0.786575995,2.083761456,0.740565295,-1.034436264
-0.329607589,0.618940821,-0.726055182,1.989102329,0.711574809,-1.121361731
-0.520839762,0.640997591,-0.690650902,1.956814678,0.720143129,-1.136168397
-0.707978776,0.633915657,-0.656878668,1.846467225,0.665702693,-1.132841517
-0.779399678,0.627104621,-0.57884008,1.625153322,0.589034498,-1.12479804
-0.704633522,0.658469852,-0.463974612,1.400232201,0.540077969,-1.065814442
-0.549410451,0.784454359,-0.393813358,1.160578446,0.492544983,-1.019854412
-0.239856802,0.907696357,-0.33144813,0.896714671,0.467940926,-0.967461868
0.207841444,0.998227346,-0.279316366,0.510496333,0.444339976,-0.888371755
0.679462012,1.026959737,-0.281260771,-0.018941042,0.443995727,-0.799936496
1.084801742,1.015014345,-0.359523347,-0.507774819,0.505801965,-0.697839821
1.447173701,1.044783685,-0.490575409,-0.866445341,0.630138932,-0.521486632
1.772327548,1.053358529,-0.644345617,-1.038299281,0.763499167,-0.338848524
2.018097149,0.951352737,-0.801160394,-1.026255817,0.874135472,-0.224059685
2.116840608,0.827168971,-0.930195699,-0.850505527,0.95690101,-0.187242091
2.053731872,0.733852864,-1.06776723,-0.554656889,0.990681808,-0.225451101
1.959072745,0.704862378,-1.154692697,-0.243848824,1.012963128,-0.275664196
1.926785094,0.713430698,-1.169499363,0.047923146,1.015322854,-0.285777484
1.816437641,0.658990262,-1.166172483,0.286008529,1.01654924,-0.381345191
1.595123738,0.582322067,-1.158129006,0.368921893,0.995404504,-0.510094604
1.370202617,0.533365538,-1.099145408,0.365986305,0.972588659,-0.593963994
1.130548862,0.485832552,-1.053185378,0.348035233,0.947954249,-0.566324012
0.866685087,0.461228495,-1.000792834,0.361152618,0.945557981,-0.503372091
0.480466749,0.437627545,-0.921702721,0.484061875,0.969506497,-0.48383713
-0.048970626,0.437283296,-0.833267462,0.574673132,1.000250698,-0.534883189
-0.537804403,0.499089534,-0.731170787,0.664859518,0.948769688,-0.521091007
-0.896474925,0.623426501,-0.554817598,0.870528341,0.891292482,-0.460488848
-1.068328865,0.756786736,-0.37217949,1.078115638,0.862401028,-0.412710545
-1.056285401,0.867423041,-0.257390651,1.203703251,0.842855797,-0.405950692
-0.880535111,0.950188579,-0.220573057,1.174144019,0.827431633,-0.453265505
-0.584686473,0.983969377,-0.258782067,1.040430321,0.78931021,-0.44625243
-0.273878408,1.006250697,-0.308995162,0.921485828,0.75096433,-0.434064045
0.017893562,1.008610423,-0.31910845,0.804351176,0.760503833,-0.446967618
0.255978945,1.009836809,-0.414676157,0.650852546,0.754392144,-0.502951659
0.338892309,0.988692073,-0.54342557,0.467583296,0.760940462,-0.559955269
0.335956721,0.965876228,-0.62729496,0.282729566,0.785784242,-0.610521868
0.318005649,0.941241818,-0.599654978,0.203252949,0.802644191,-0.577408266
0.331123034,0.93884555,-0.536703057,0.172376445,0.84977234,-0.56597674
0.454032291,0.962794066,-0.517168096,0.195837769,0.87564015,-0.558652863
0.544643548,0.993538267,-0.568214155,0.195261086,0.840050287,-0.586157729
0.634829934,0.942057257,-0.554421973,0.147137666,0.838529203,-0.587130012
0.840498757,0.884580051,-0.493819814,0.068148372,0.797966985,-0.574291368
1.048086054,0.855688597,-0.446041511,-0.012402047,0.762580192,-0.577809445
1.173673667,0.836143366,-0.439281658,-0.162042055,0.738241092,-0.592294223
1.144114435,0.820719202,-0.486596471,-0.311468122,0.689315507,-0.595502381
1.010400737,0.782597779,-0.479583396,-0.460242082,0.669339353,-0.580857418
0.891456244,0.744251899,-0.467395011,-0.519886399,0.698138131,-0.552825977
0.774321592,0.753791402,-0.480298584,-0.483697951,0.699860989,-0.574310003
0.620822962,0.747679713,-0.536282625,-0.435454669,0.671990615,-0.613616436
0.437553712,0.754228031,-0.593286235,-0.423444952,0.633584111,-0.605785308
0.252699982,0.779071811,-0.643852834,-0.413443791,0.594929262,-0.622391882
0.173223365,0.79593176,-0.610739232,-0.400867604,0.59054198,-0.609371798
0.142346861,0.843059909,-0.599307706,-0.318791411,0.603967363,-0.567400624
0.165808185,0.868927719,-0.591983829,-0.211178351,0.621490607,-0.518235144
0.165231502,0.833337856,-0.619488695,-0.086709239,0.661118412,-0.420327602
0.117108082,0.831816772,-0.620460978,0.156180482,0.753060329,-0.364719229
0.038118788,0.791254554,-0.607622334,0.447211128,0.825294952,-0.396242602
-0.042431631,0.755867761,-0.611140411,0.686669378,0.870937602,-0.4150372
-0.192071639,0.731528661,-0.625625189,0.897229878,0.873275381,-0.428152314
-0.341497706,0.682603076,-0.628833347,1.064167593,0.840682187,-0.461645204
-0.490271666,0.662626922,-0.614188384,1.164373706,0.815773461,-0.49412117
-0.549915983,0.6914257,-0.586156943,1.190807483,0.801410064,-0.546275959
-0.513727535,0.693148558,-0.607640969,1.139493813,0.794677578,-0.560536612
-0.465484253,0.665278184,-0.646947402,1.105018733,0.788125035,-0.541997195
-0.453474536,0.62687168,-0.639116274,1.098797946,0.773958278,-0.551122235
-0.443473375,0.588216831,-0.655722848,1.085450868,0.768796499,-0.596643653
-0.430897188,0.583829549,-0.642702764,1.062026933,0.820065408,-0.607260528
-0.348820995,0.597254932,-0.60073159,1.125156465,0.907041258,-0.586409943
-0.241207935,0.614778176,-0.55156611,1.254928349,0.923325533,-0.566804673
-0.116738823,0.654405981,-0.453658568,1.342554559,0.875856573,-0.563530191
0.126150898,0.746347898,-0.398050195,1.387052902,0.888097926,-0.577028619
0.417181544,0.818582521,-0.429573568,1.497227328,0.96786352,-0.558692088
0.656639794,0.864225171,-0.448368166,1.674685349,0.999660407,-0.500741991
0.867200294,0.86656295,-0.46148328,1.802306313,1.018994527,-0.440766801
1.034138009,0.833969756,-0.49497617,1.798070219,0.997159571,-0.4473084
1.134344122,0.80906103,-0.527452136,1.706937131,1.079010402,-0.47170073
1.160777899,0.794697633,-0.579606925,1.657261941,1.2029864,-0.48248745
1.109464229,0.787965147,-0.593867578,1.683657066,1.269845617,-0.491505674
1.074989149,0.781412604,-0.575328161,1.738554768,1.298252088,-0.555304837
1.068768362,0.767245847,-0.584453201,1.913329185,1.371781689,-0.702895536
1.055421284,0.762084068,-0.629974619,2.216038573,1.362508333,-0.892275365
1.031997349,0.813352977,-0.640591494,2.758229945,1.358675246,-1.003357948
1.095126881,0.900328827,-0.619740909,3.604382451,1.234620275,-1.067377004
1.224898765,0.916613102,-0.600135639,4.652180903,1.045324347,-1.185939909
1.312524975,0.869144142,-0.596861157,5.839470687,0.831574406,-1.335534239
1.357023318,0.881385495,-0.610359585,7.16115308,0.586789678,-1.489451974
1.467197744,0.961151089,-0.592023054,8.555029195,0.280652151,-1.597780646
1.644655765,0.992947976,-0.534072957,10.21750369,0.027237738,-1.657805657
1.772276729,1.012282096,-0.474097767,11.9717949,-0.20967556,-1.785189364
1.768040635,0.99044714,-0.480639366,13.79892393,-0.422312242,-1.90282383
1.676907547,1.072297971,-0.505031696,15.74573912,-0.671732921,-2.007399885
1.627232357,1.196273969,-0.515818416,17.79067596,-1.01525998,-2.067278815
1.653627482,1.263133186,-0.52483664,19.94223468,-1.403423078,-2.161656323
1.708525184,1.291539657,-0.588635803,22.05982082,-1.75597623,-2.307142586
1.883299601,1.365069258,-0.736226502,24.06891872,-2.11013488,-2.388387928
2.186008989,1.355795902,-0.925606331,26.01598525,-2.519707643,-2.398116266
2.728200361,1.351962815,-1.036688914,27.80057816,-2.844141943,-2.416881432
3.574352867,1.227907844,-1.10070797,29.48931103,-3.050334581,-2.392091477
4.622151319,1.038611916,-1.219270875,31.06433881,-3.110150636,-2.402453072
5.809441104,0.824861975,-1.368865205,32.54415517,-3.023481067,-2.274654541
7.131123497,0.580077247,-1.52278294,33.92587294,-2.810825037,-2.077139957
8.524999613,0.27393972,-1.631111612,35.15301127,-2.540382946,-1.943156876
10.18747411,0.020525307,-1.691136623,36.23597796,-2.188218429,-1.831301257
11.94176532,-0.216387991,-1.81852033,37.18846801,-1.754314379,-1.696262215
13.76889435,-0.429024673,-1.936154796,38.06620894,-1.280095925,-1.45067045
15.71570954,-0.678445352,-2.040730851,38.9293912,-0.797150693,-1.055645642
17.76064638,-1.021972411,-2.100609781,39.71845461,-0.292229501,-0.681078157
19.9122051,-1.410135509,-2.194987289,40.54053955,0.192081558,-0.315884614
22.02979124,-1.762688661,-2.340473552,41.35350827,0.596275825,-0.009140035
24.03888914,-2.116847311,-2.421718894,42.05693298,0.941576867,0.224311764
25.98595567,-2.526420074,-2.431447232,42.65399909,1.263475621,0.385688178
27.77054858,-2.850854374,-2.450212398,43.12192035,1.603050808,0.473735688
29.45928144,-3.057047012,-2.425422443,43.53356708,1.873865937,0.513182438
31.03430923,-3.116863067,-2.435784038,43.89257579,2.123437318,0.489745296
32.51412559,-3.030193498,-2.307985507,44.1530775,2.318069822,0.393373695
33.89584335,-2.817537468,-2.110470923,44.31609062,2.437041485,0.300670353
35.12298169,-2.547095377,-1.976487842,44.4875824,2.48236627,0.237829705
36.20594838,-2.19493086,-1.864632223,44.6984934,2.371228143,0.120285393
37.15843843,-1.76102681,-1.729593181,44.9097683,2.192923863,-0.055200568
38.03617936,-1.286808356,-1.484001416,45.03756324,2.115616713,-0.272756095
38.89936162,-0.803863124,-1.088976608,45.10824106,2.018208028,-0.506088723
39.68842502,-0.298941932,-0.714409123,45.06822337,1.896426114,-0.748149353
40.51050997,0.185369127,-0.34921558,44.86278813,1.783891905,-1.028023815
41.32347868,0.589563394,-0.042471001,44.53169784,1.68895021,-1.340828327
42.0269034,0.934864436,0.190980798,43.98972114,1.654389507,-1.669194346
42.62396951,1.25676319,0.352357212,43.23018545,1.652859042,-1.899853742
43.09189076,1.596338377,0.440404722,42.22494087,1.629964092,-2.038805426
43.5035375,1.867153506,0.479851472,40.99414469,1.560186835,-2.099574587
43.86254621,2.116724887,0.45641433,39.62439774,1.422222494,-2.096059675
44.12304792,2.311357391,0.360042729,38.10227061,1.404796081,-2.057697225
44.28606104,2.430329054,0.267339387,36.43215887,1.520373521,-1.884837143
44.45755282,2.475653839,0.204498739,34.68033323,1.605919255,-1.563396708
44.66846382,2.364515712,0.086954427,32.82618988,1.575436771,-1.321207534
44.87973872,2.186211432,-0.088531534,30.98965677,1.494014798,-1.254546162
45.00753366,2.108904282,-0.306087061,29.07610765,1.462313884,-1.364321322
45.07821148,2.011495597,-0.539419689,27.10098838,1.581724607,-1.561642281
45.03819378,1.889713683,-0.781480319,25.21218848,1.712870329,-1.76294694
44.83275854,1.777179474,-1.061354781,23.32212836,1.779752783,-2.123624989
44.50166825,1.682237779,-1.374159293,21.4922353,1.950891497,-2.496093698
43.95969156,1.647677076,-1.702525312,19.66925064,2.2799624,-2.802062342
43.20015587,1.646146611,-1.933184708,17.82288434,2.682216963,-2.954977353
42.19491129,1.623251661,-2.072136392,16.04222302,3.033218894,-2.947745442
40.96411511,1.553474404,-2.132905553,14.24999555,3.224457526,-2.896780134
39.59436815,1.415510063,-2.129390641,12.43773305,3.275237453,-2.775865189
38.07224102,1.39808365,-2.091028191,10.65924662,3.26815791,-2.567286525
36.40212928,1.51366109,-1.918168109,8.890718043,3.144739925,-2.328978709
34.65030364,1.599206824,-1.596727674,7.24652433,2.873299332,-2.097840854
32.79616029,1.56872434,-1.3545385,5.645091066,2.461927426,-1.989863375
30.95962718,1.487302367,-1.287877128,4.104999716,1.961909738,-1.921074439
29.04607806,1.455601453,-1.397652288,2.808798356,1.500717315,-1.735687833
27.07095879,1.575012176,-1.594973247,1.760737982,1.121291895,-1.503077882
25.18215889,1.706157898,-1.796277906,0.963901535,0.767370014,-1.244761366
23.29209878,1.773040352,-2.156955955,0.287905092,0.4109198,-1.117899084
21.46220572,1.944179066,-2.529424664,-0.326667389,0.116063672,-1.077303478
19.63922106,2.273249969,-2.835393308,-0.819730558,-0.164328329,-0.999169803
17.79285476,2.675504532,-2.988308319,-1.102427799,-0.425354176,-0.949016078
16.01219344,3.026506463,-2.981076408,-1.384661102,-0.654512257,-0.996502746
14.21996597,3.217745095,-2.9301111,-1.650753524,-0.828181777,-1.075883605
12.40770347,3.268525022,-2.809196155,-1.841054742,-0.891896918,-1.16797407
10.62921703,3.261445479,-2.600617491,-1.879563111,-0.885803698,-1.215881881
8.86068846,3.138027494,-2.362309675,-1.838342524,-0.914555161,-1.159449699
7.216494747,2.866586901,-2.13117182,-1.729126188,-0.869757932,-1.105340349
5.615061483,2.455214995,-2.023194341,-1.630166601,-0.765220671,-1.112097999
4.074970132,1.955197307,-1.954405405,-1.435407522,-0.758308136,-1.092182674
2.778768772,1.494004884,-1.769018799,-1.185551559,-0.84266817,-1.113792985
1.730708398,1.114579464,-1.536408848,-0.985871652,-0.986792324,-1.181135851
0.933871951,0.760657583,-1.278092332,-0.837633108,-1.155334433,-1.226961056
0.257875508,0.404207369,-1.15123005,-0.705585632,-1.332262829,-1.399551182
-0.356696973,0.109351241,-1.110634444,-0.613777202,-1.571813651,-1.617818087
-0.849760142,-0.17104076,-1.032500769,-0.618675954,-1.826583488,-1.792622971
-1.132457383,-0.432066607,-0.982347044,-0.761937807,-1.984900111,-1.995432424
-1.414690686,-0.661224688,-1.029833712,-1.063385847,-2.064491893,-2.227445177
-1.680783108,-0.834894208,-1.109214571,-1.464463958,-2.089826362,-2.441083015
-1.871084326,-0.898609349,-1.201305036,-1.946759744,-2.060732767,-2.664795756
-1.909592695,-0.892516129,-1.249212847,-2.466346367,-1.942662086,-2.796196752
-1.868372108,-0.921267592,-1.192780665,-3.016194531,-1.76322094,-2.843752844
-1.759155772,-0.876470363,-1.138671315,-3.583087284,-1.558603148,-2.821784705
-1.660196185,-0.771933102,-1.145428965,-4.160639559,-1.35236259,-2.745983364
-1.465437106,-0.765020567,-1.12551364,-4.749949508,-1.17991795,-2.617684245
-1.215581143,-0.849380601,-1.147123951,-5.354672809,-1.053364637,-2.453817035
-1.015901236,-0.993504755,-1.214466817,-5.972061189,-0.950841467,-2.277840604
-0.867662692,-1.162046864,-1.260292022,-6.577370429,-0.827107188,-2.094165452
-0.735615216,-1.33897526,-1.432882148,-7.173262021,-0.68447896,-1.931639019
-0.643806786,-1.578526082,-1.651149053,-7.710703921,-0.531488992,-1.738850327
-0.648705538,-1.833295919,-1.825953937,-8.194544021,-0.40191818,-1.601326304
-0.791967391,-1.991612542,-2.02876339,-8.657980848,-0.297925293,-1.555534089
-1.093415431,-2.071204324,-2.260776143,-9.085235681,-0.18808032,-1.569341866
-1.494493542,-2.096538793,-2.474413981,-9.468273231,-0.089023751,-1.58652414
-1.976789328,-2.067445198,-2.698126722,-9.789798843,-0.061783138,-1.639325686
-2.496375951,-1.949374517,-2.829527718,-10.09786127,-0.124290626,-1.74410659
-3.046224115,-1.769933371,-2.87708381,-10.46542844,-0.204083078,-1.906713711
-3.613116868,-1.565315579,-2.855115671,-10.85721225,-0.201518556,-1.990687494
-4.190669143,-1.359075021,-2.77931433,-11.24903501,-0.142714554,-1.96779407
-4.779979092,-1.186630381,-2.651015211,-11.64098197,-0.126823781,-1.936384113
-5.384702393,-1.060077068,-2.487148001,-11.97516846,-0.154936566,-1.863811021
-6.002090773,-0.957553898,-2.31117157,-12.31513522,-0.183414882,-1.788016552
-6.607400013,-0.833819619,-2.127496418,-12.59504043,-0.208057845,-1.65004304
-7.203291605,-0.691191391,-1.964969985,-12.85947678,-0.242970536,-1.4954096
-7.740733505,-0.538201423,-1.772181293,-13.12719273,-0.297756585,-1.394038552
-8.224573605,-0.408630611,-1.63465727,-13.39987468,-0.380609605,-1.33599438
-8.688010432,-0.304637724,-1.588865055,-13.69358559,-0.40365059,-1.254279998
-9.115265265,-0.194792751,-1.602672832,-13.99109089,-0.360600823,-1.18373908
-9.498302814,-0.095736182,-1.619855106,-14.19693912,-0.259541939,-1.079784451
-9.819828425,-0.068495569,-1.672656652,-14.30902841,-0.106636492,-0.986972989
-10.12789085,-0.131003057,-1.777437556,-14.25860836,0.038695327,-0.895135158
-10.49545802,-0.210795509,-1.940044677,-14.05536031,0.137164368,-0.814468568
-10.88724183,-0.208230987,-2.02401846,-13.69951457,0.233241799,-0.762240871
-11.27906459,-0.149426985,-2.001125036,-13.26650875,0.305386344,-0.706402507
-11.67101155,-0.133536212,-1.969715079,-12.89283563,0.318430028,-0.667486092
-12.00519804,-0.161648997,-1.897141987,-12.63108545,0.301834406,-0.664736917
-12.3451648,-0.190127313,-1.821347518,-12.50709063,0.263447196,-0.728984801
-12.62507001,-0.214770276,-1.683374006,-12.55236879,0.242769805,-0.860746732
-12.88950636,-0.249682967,-1.528740566,-12.77433508,0.239874393,-0.970645465
-13.15722231,-0.304469016,-1.427369518,-13.14676665,0.261236917,-1.023938517
-13.42990426,-0.387322036,-1.369325346,-13.46742928,0.270097455,-1.033962087
-13.72361517,-0.410363021,-1.287610964,-13.64644022,0.282549454,-1.087982438
-14.02112047,-0.367313254,-1.217070046,-13.70815617,0.301680562,-1.157455293
-14.2269687,-0.26625437,-1.113115417,-13.65099941,0.377120701,-1.191365016
-14.33905799,-0.113348923,-1.020303955,-13.45092555,0.424802523,-1.210249367
-14.28863794,0.031982896,-0.928466124,-13.09323999,0.409865325,-1.206984132
-14.08538989,0.130451937,-0.847799534,-12.62645419,0.377363889,-1.212951822
-13.72954415,0.226529368,-0.795571837,-12.17419689,0.40884928,-1.214346616
-13.29653833,0.298673913,-0.739733473,-11.76253647,0.46318852,-1.167409998
-12.92286521,0.311717597,-0.700817058,-11.48219057,0.444219556,-1.180349556
-12.66111503,0.295121975,-0.698067883,-11.32251971,0.36876275,-1.162037711
-12.53712021,0.256734765,-0.762315767,-11.25891487,0.315167611,-1.089792248
-12.58239837,0.236057374,-0.894077698,-11.26791806,0.263488322,-1.097014934
-12.80436466,0.233161962,-1.003976431,-11.38522582,0.211083768,-1.116009057
-13.17679623,0.254524486,-1.057269483,-11.58478475,0.122163607,-1.170122985
-13.49745886,0.263385024,-1.067293053,-11.81758626,0.023644796,-1.187664309
-13.6764698,0.275837023,-1.121313404,-12.0129046,0.001813808,-1.132921614
-13.73818575,0.294968131,-1.190786259,-12.19779716,0.015555868,-1.123517949
-13.68102899,0.37040827,-1.224695982,-12.40643929,-0.022722149,-1.195372637
-13.48095513,0.418090092,-1.243580333,-12.67345461,-0.055463018,-1.195757342
-13.12326957,0.403152894,-1.240315098,-12.84412039,-0.040293758,-1.134447389
-12.65648377,0.370651458,-1.246282788,-12.90136586,0.014730019,-1.059595306
-12.20422647,0.402136849,-1.247677582,-12.93351543,0.070172777,-1.09964761
-11.79256605,0.456476089,-1.200740964,-13.01691364,0.040549594,-1.194021121
-11.51222015,0.437507125,-1.213680522,-13.13734139,-0.049167133,-1.247125041
-11.35254929,0.362050319,-1.195368677,-13.24564842,-0.054184691,-1.157105524
-11.28894445,0.30845518,-1.123123214,-13.34398492,0.013761384,-1.094985211
-11.29794764,0.256775891,-1.1303459,-13.45716515,0.060811829,-1.096487382
-11.4152554,0.204371337,-1.149340023,-13.55741139,0.068357724,-1.102931974
-11.61481433,0.115451176,-1.203453951,-13.60676921,0.071084153,-1.071284282
-11.84761584,0.016932365,-1.220995275,-13.52357876,0.111466866,-0.997973552
-12.04293418,-0.004898623,-1.16625258,-13.36753298,0.201147524,-0.959442894
-12.22782674,0.008843437,-1.156848915,-13.20770232,0.231685875,-1.051552392
-12.43646887,-0.02943458,-1.228703603,-12.97346866,0.26996704,-1.068509032
-12.70348419,-0.062175449,-1.229088308,-12.68096199,0.296416309,-1.082614801
-12.87414997,-0.047006189,-1.167778355,-12.47906392,0.265645175,-1.170027633
-12.93139544,0.008017588,-1.092926272,-12.44128448,0.201183498,-1.27151589
-12.96354501,0.063460346,-1.132978576,-12.55645685,0.163647754,-1.358363474
-13.04694322,0.033837163,-1.227352087,-12.67003589,0.178883057,-1.366696808
