yaw,pitch,roll,yawt,pitcht,rollt
2.146870192,0.833881402,-0.896864733,2.146870192,0.833881402,-0.896864733
2.083761456,0.740565295,-1.034436264,2.083761456,0.740565295,-1.034436264
1.989102329,0.711574809,-1.121361731,1.989102329,0.711574809,-1.121361731
1.956814678,0.720143129,-1.136168397,1.956814678,0.720143129,-1.136168397
1.846467225,0.665702693,-1.132841517,1.846467225,0.665702693,-1.132841517
1.625153322,0.589034498,-1.12479804,1.625153322,0.589034498,-1.12479804
1.400232201,0.540077969,-1.065814442,1.400232201,0.540077969,-1.065814442
1.160578446,0.492544983,-1.019854412,1.160578446,0.492544983,-1.019854412
0.896714671,0.467940926,-0.967461868,0.896714671,0.467940926,-0.967461868
0.510496333,0.444339976,-0.888371755,0.510496333,0.444339976,-0.888371755
-0.018941042,0.443995727,-0.799936496,-0.018941042,0.443995727,-0.799936496
-0.507774819,0.505801965,-0.697839821,-0.507774819,0.505801965,-0.697839821
-0.866445341,0.630138932,-0.521486632,-0.866445341,0.630138932,-0.521486632
-1.038299281,0.763499167,-0.338848524,-1.038299281,0.763499167,-0.338848524
-1.026255817,0.874135472,-0.224059685,-1.026255817,0.874135472,-0.224059685
-0.850505527,0.95690101,-0.187242091,-0.850505527,0.95690101,-0.187242091
-0.554656889,0.990681808,-0.225451101,-0.554656889,0.990681808,-0.225451101
-0.243848824,1.012963128,-0.275664196,-0.243848824,1.012963128,-0.275664196
0.047923146,1.015322854,-0.285777484,0.047923146,1.015322854,-0.285777484
0.286008529,1.01654924,-0.381345191,0.286008529,1.01654924,-0.381345191
0.368921893,0.995404504,-0.510094604,0.368921893,0.995404504,-0.510094604
0.365986305,0.972588659,-0.593963994,0.365986305,0.972588659,-0.593963994
0.348035233,0.947954249,-0.566324012,0.348035233,0.947954249,-0.566324012
0.361152618,0.945557981,-0.503372091,0.361152618,0.945557981,-0.503372091
0.484061875,0.969506497,-0.48383713,0.484061875,0.969506497,-0.48383713
0.574673132,1.000250698,-0.534883189,0.574673132,1.000250698,-0.534883189
0.664859518,0.948769688,-0.521091007,0.664859518,0.948769688,-0.521091007
0.870528341,0.891292482,-0.460488848,0.870528341,0.891292482,-0.460488848
1.078115638,0.862401028,-0.412710545,1.078115638,0.862401028,-0.412710545
1.203703251,0.842855797,-0.405950692,1.203703251,0.842855797,-0.405950692
1.174144019,0.827431633,-0.453265505,1.174144019,0.827431633,-0.453265505
1.040430321,0.78931021,-0.44625243,1.040430321,0.78931021,-0.44625243
0.921485828,0.75096433,-0.434064045,0.921485828,0.75096433,-0.434064045
0.804351176,0.760503833,-0.446967618,0.804351176,0.760503833,-0.446967618
0.650852546,0.754392144,-0.502951659,0.650852546,0.754392144,-0.502951659
0.467583296,0.760940462,-0.559955269,0.467583296,0.760940462,-0.559955269
0.282729566,0.785784242,-0.610521868,0.282729566,0.785784242,-0.610521868
0.203252949,0.802644191,-0.577408266,0.203252949,0.802644191,-0.577408266
0.172376445,0.84977234,-0.56597674,0.172376445,0.84977234,-0.56597674
0.195837769,0.87564015,-0.558652863,0.195837769,0.87564015,-0.558652863
0.195261086,0.840050287,-0.586157729,0.195261086,0.840050287,-0.586157729
0.147137666,0.838529203,-0.587130012,0.147137666,0.838529203,-0.587130012
0.068148372,0.797966985,-0.574291368,0.068148372,0.797966985,-0.574291368
-0.012402047,0.762580192,-0.577809445,-0.012402047,0.762580192,-0.577809445
-0.162042055,0.738241092,-0.592294223,-0.162042055,0.738241092,-0.592294223
-0.311468122,0.689315507,-0.595502381,-0.311468122,0.689315507,-0.595502381
-0.460242082,0.669339353,-0.580857418,-0.460242082,0.669339353,-0.580857418
-0.519886399,0.698138131,-0.552825977,-0.519886399,0.698138131,-0.552825977
-0.483697951,0.699860989,-0.574310003,-0.483697951,0.699860989,-0.574310003
-0.435454669,0.671990615,-0.613616436,-0.435454669,0.671990615,-0.613616436
-0.423444952,0.633584111,-0.605785308,-0.423444952,0.633584111,-0.605785308
-0.413443791,0.594929262,-0.622391882,-0.413443791,0.594929262,-0.622391882
-0.400867604,0.59054198,-0.609371798,-0.400867604,0.59054198,-0.609371798
-0.318791411,0.603967363,-0.567400624,-0.318791411,0.603967363,-0.567400624
-0.211178351,0.621490607,-0.518235144,-0.211178351,0.621490607,-0.518235144
-0.086709239,0.661118412,-0.420327602,-0.086709239,0.661118412,-0.420327602
0.156180482,0.753060329,-0.364719229,0.156180482,0.753060329,-0.364719229
0.447211128,0.825294952,-0.396242602,0.447211128,0.825294952,-0.396242602
0.686669378,0.870937602,-0.4150372,0.686669378,0.870937602,-0.4150372
0.897229878,0.873275381,-0.428152314,0.897229878,0.873275381,-0.428152314
1.064167593,0.840682187,-0.461645204,1.064167593,0.840682187,-0.461645204
1.164373706,0.815773461,-0.49412117,1.164373706,0.815773461,-0.49412117
1.190807483,0.801410064,-0.546275959,1.190807483,0.801410064,-0.546275959
1.139493813,0.794677578,-0.560536612,1.139493813,0.794677578,-0.560536612
1.105018733,0.788125035,-0.541997195,1.105018733,0.788125035,-0.541997195
1.098797946,0.773958278,-0.551122235,1.098797946,0.773958278,-0.551122235
1.085450868,0.768796499,-0.596643653,1.085450868,0.768796499,-0.596643653
1.062026933,0.820065408,-0.607260528,1.062026933,0.820065408,-0.607260528
1.125156465,0.907041258,-0.586409943,1.125156465,0.907041258,-0.586409943
1.254928349,0.923325533,-0.566804673,1.254928349,0.923325533,-0.566804673
1.342554559,0.875856573,-0.563530191,1.342554559,0.875856573,-0.563530191
