yaw,pitch,roll
1.035625235,-0.110443003,0.214572021
1.08959202,-0.158923299,0.234985089
1.057348824,-0.175603949,0.257800634
1.148403697,-0.189390656,0.281813508
1.257079881,-0.209364457,0.295233634
1.309693021,-0.191848755,0.278267075
1.247136791,-0.15148193,0.302053182
0.907892227,-0.126477691,0.309163952
0.813350301,-0.075883287,0.292936577
0.77026784,-0.044504302,0.273190154
0.6730708,-0.004009493,0.246247784
0.575924101,0.028146776,0.221473502
0.614456881,0.055343317,0.209536031
0.440448834,0.085765842,0.186950566
0.556958483,0.11444923,0.168234487
0.651029774,0.076752866,0.147514817
0.672104543,0.063870171,0.142992683
0.803139553,0.04888341,0.136924242
1.097940944,0.077870918,0.110876075
1.278408593,0.12453458,0.078906066
1.533201154,0.206573774,-0.020958975
1.463063321,0.340655116,-0.117751534
1.631828835,0.508950078,-0.242877294
1.914518174,0.633449992,-0.398545993
2.163977638,0.778633572,-0.547910891
2.355369617,0.872623177,-0.689894352
2.771452785,0.935975467,-0.811349963
3.314250743,0.948426954,-0.862533148
3.75787142,0.929491053,-0.909534758
3.853844567,0.895084385,-0.981704487
4.178314845,0.854596667,-1.087457247
4.193872991,0.774856617,-1.148966783
4.333023005,0.699173806,-1.201570954
4.267000931,0.638326196,-1.245658148
4.414915604,0.545299887,-1.352047194
4.957329181,0.378232842,-1.466422064
5.435004585,0.252387616,-1.46499358
5.272436701,0.091894741,-1.381319811
5.814417907,-0.046257117,-1.350383414
7.066313798,-0.263779162,-1.369193815
8.757559783,-0.474104842,-1.394884763
11.73753824,-0.654712515,-1.495805601
15.40181923,-0.701476466,-1.554139032
18.33499837,-0.706408278,-1.549087617
21.4781811,-0.555006373,-1.539290857
23.93864231,-0.215682122,-1.430936168
25.77882449,0.303422885,-1.286539924
27.41911297,0.822882161,-1.216876443
26.87359215,1.40144371,-0.971486193
24.93226046,2.083265058,-0.654645285
24.33167316,2.696482061,-0.555012008
23.38444449,3.30046637,-0.45853067
24.91873607,3.6869209,-0.819547586
26.07792702,3.786652669,-1.047702603
26.85897863,3.806464367,-1.075458222
28.72065721,3.757119014,-1.161095232
31.27513083,3.456382467,-1.265288111
33.8963363,3.077726592,-1.295709592
36.55048798,2.594842836,-1.328898924
35.6175493,1.987409531,-0.875399661
33.26345569,1.456382614,-0.488072888
31.20368881,1.879508935,-0.74269289
28.39374488,2.912236519,-1.225165784
24.85039198,4.045612043,-1.729413591
22.39394497,4.127361305,-1.611701047
19.82920447,3.892999543,-1.183737628
17.64542489,3.839611778,-1.002327067
16.84484982,3.915723945,-0.926199027
15.63355771,3.124385684,-0.369490766
14.19698689,1.884326397,0.348093061
13.12599451,0.743102039,0.920356086
10.7418354,0.862423655,0.84864798
8.203326682,1.305337203,0.459254094
6.202553337,1.68240797,0.189484497
4.308719225,1.95428566,-0.012874817
2.586280465,2.04296882,-0.157029751
1.537445515,1.817818575,-0.188841781
0.987122141,1.376863525,-0.119899279
0.742242477,0.540078785,0.107378099
1.116618074,-0.312437631,0.33927452
1.789276044,-1.109285575,0.587046162
2.46668123,-1.837910612,0.850587323
3.056206153,-2.343126969,1.059714977
3.107876997,-2.580461689,1.207941442
2.922092725,-2.713260971,1.369317195
2.296716983,-2.59890255,1.414780036
1.450508667,-2.430585287,1.463278744
0.60479615,-2.2427309,1.471302825
-0.050091042,-2.021722722,1.428658292
-0.306087015,-1.815612036,1.409783555
-0.108913803,-1.653917635,1.393089961
0.275327308,-1.424905164,1.317075342
0.724160328,-1.131943185,1.193592421
1.399506414,-0.859751099,1.004152239
1.907428055,-0.616623969,0.848607824
2.40281595,-0.394029071,0.688101859
2.79322557,-0.244511526,0.544902293
2.955572155,-0.175265822,0.422949396
2.932164331,-0.227383744,0.382919928
2.465004978,-0.292657504,0.369356782
2.034005181,-0.297992585,0.348261137
1.573133108,-0.270483235,0.318532058
1.242897817,-0.206483123,0.264561075
0.965704527,-0.133729425,0.191296791
0.57910531,-0.003832825,0.124722675
0.418392855,0.185155816,-0.035071809
0.536871673,0.295886011,-0.171225798
0.72797112,0.287111371,-0.267791183
1.030898815,0.247973218,-0.336945973
1.234461201,0.229838555,-0.381133376
1.484686127,0.248511921,-0.423698742
1.669414388,0.277529331,-0.449936489
1.57960976,0.258139328,-0.414541757
1.244193571,0.240510633,-0.32429465
0.965897997,0.260277515,-0.237507822
0.881666474,0.248158853,-0.161528712
0.686277631,0.215066703,-0.059265668
0.252595005,0.142791403,0.043631093
0.11535457,0.040969115,0.113075817
0.029621794,-0.036025178,0.181395255
0.047780651,-0.076016153,0.204227086
-0.21292652,-0.100018334,0.236644111
-0.506616816,-0.11067635,0.255260585
-0.714599346,-0.106836584,0.270871105
-0.789491189,-0.094272133,0.271383422
-0.840021503,-0.092346737,0.268807425
-0.837395632,-0.070601301,0.243839004
-0.639630557,-0.04480458,0.219211
-0.426671239,-0.011257774,0.203990866
-0.284648672,0.03161975,0.197328118
-0.243963707,0.021999851,0.181665536
-0.306320376,-0.006957539,0.195427721
-0.27901048,-0.060377294,0.217649239
-0.234361382,-0.14094772,0.262587895
-0.220741726,-0.211298815,0.302257544
-0.118186336,-0.288465054,0.329737825
-0.045766797,-0.335910746,0.364255521
0.08265972,-0.377941429,0.395804486
0.168505444,-0.393977643,0.412471972
0.085932931,-0.361266509,0.424977007
-0.091983469,-0.318159334,0.415068091
-0.577161312,-0.262775723,0.418722235
-0.857345297,-0.200397038,0.394069407
-0.987941955,-0.141744849,0.353253454
-1.056089552,-0.056864816,0.308019409
-0.731861025,-0.012929824,0.283500733
-0.729157223,-0.006479177,0.279307096
-0.49252651,-0.002614353,0.250969986
-0.126021266,-0.008609905,0.212070313
-0.016206217,0.007934515,0.210023278
0.16281275,0.005825316,0.201241865
0.317642705,-0.020246404,0.208434472
0.175638037,-0.037484541,0.206544503
0.210692291,-0.018570938,0.186524676
0.063712388,-0.002165339,0.188818698
0.062535244,0.009999472,0.190201816
0.043643631,0.008278759,0.190002419
-0.12065344,0.00205856,0.198454359
-0.237692159,-0.003491034,0.196966653
-0.445652652,0.001556678,0.19445564
-0.392583183,-0.010803915,0.180581867
-0.296886722,-0.003871892,0.17368158
-0.090096362,-0.036116786,0.163359367
0.142573523,-0.096138422,0.187944873
0.157796315,-0.150266302,0.227639187
-0.019808655,-0.160951218,0.25971929
-0.01700223,-0.178723932,0.252218114
-0.010224966,-0.192967966,0.265071859
0.013645811,-0.208948659,0.291562961
-0.246652243,-0.175276099,0.308423907
-0.354955129,-0.136595661,0.272615049
-0.136469773,-0.104345447,0.237640999
0.185237253,-0.140705369,0.235711141
0.29640287,-0.165257978,0.277960339
0.010908197,-0.166789668,0.319257613
-0.370239082,-0.144155638,0.307612776
-0.624737107,-0.132098613,0.30074191
-0.832172112,-0.119671391,0.28689169
-0.988241933,-0.089206696,0.263342955
-0.945081105,-0.048345049,0.227959551
-0.762768526,-0.0326656,0.196453401
-0.532207712,-0.048588013,0.182491433
-0.03077823,-0.093659138,0.180717981
