yaw,pitch,roll,yawt,pitcht,rollt
2.372539937,0.585332709,1.482159214,2.512552518,0.440126684,0.77478296
2.311543671,0.517204566,1.508459399,2.469247408,0.444268244,0.817859677
2.263892467,0.430739926,1.574207461,2.438986845,0.491678257,0.868341539
2.116659604,0.376595482,1.636356267,2.448247118,0.582256233,0.891320652
2.012739796,0.295325558,1.724454286,2.467258577,0.608607897,0.89207661
1.829282037,0.256073176,1.762349133,2.44403274,0.540890909,0.939368537
1.707934331,0.225231126,1.765014472,2.385661617,0.482149427,0.93902559
1.679524713,0.226645316,1.781221163,2.276767848,0.491699413,0.932586977
1.732108121,0.215132949,1.744431024,2.168337258,0.460870314,0.898809442
1.70012639,0.129899245,1.568401385,2.13805324,0.434930393,0.881078398
1.741889938,0.041444577,1.38429348,2.192984562,0.361953336,0.900182614
1.764510957,-0.035525837,1.198650766,2.300745157,0.37214296,0.957608208
1.78027156,-0.117634027,0.971809232,2.425047107,0.484564949,0.958789596
1.749934336,-0.1213799,0.744110004,2.542758042,0.534217638,0.94385924
1.744995606,-0.110027128,0.613689142,2.621922991,0.513734491,0.871327314
1.726349181,-0.163110045,0.616598589,2.635603072,0.517904544,0.840163079
1.802064281,-0.094240573,0.747034121,2.582647808,0.509180941,0.812962484
1.863776687,0.121504044,0.907172101,2.48587393,0.567457932,0.771037912
1.954968074,0.397697173,0.965685465,2.389030257,0.617762438,0.716648187
2.004749256,0.511899058,1.019181631,2.392307488,0.594180004,0.688096835
2.022542636,0.409703663,1.095106269,2.429257197,0.53794659,0.68799165
2.009509807,0.389105344,1.024923309,2.521674125,0.517106117,0.698051857
2.007655713,0.42930063,0.965187809,2.601621731,0.525207018,0.653401728
1.967445057,0.318098099,0.85519172,2.635295541,0.56397706,0.635315238
2.021047957,0.165373633,0.800632117,2.701017814,0.58907669,0.691599149
2.094292776,-0.033363343,0.926051649,2.872990931,0.599561351,0.777796964
2.184878353,-0.021462692,1.101074744,3.017709805,0.68480754,0.930676441
2.300952561,0.139760544,1.180248075,3.143809478,0.884011581,1.150037956
2.422761486,0.108620612,1.259282357,3.28192002,1.146525407,1.383862874
2.50271865,0.036678143,1.205426682,3.584053978,1.367871184,1.565271674
2.606669173,0.089749383,1.235222586,4.076571492,1.504436796,1.620915087
