yaw,pitch,roll,yawt,pitcht,rollt
2.75702992,0.551673896,0.709496131,2.512552518,0.440126684,0.77478296
2.805229997,0.530966038,0.713751489,2.469247408,0.444268244,0.817859677
2.858218637,0.513374544,0.749974732,2.438986845,0.491678257,0.868341539
2.876651046,0.542523405,0.804937251,2.448247118,0.582256233,0.891320652
2.831785821,0.556084812,0.850283272,2.467258577,0.608607897,0.89207661
2.698508086,0.549306262,0.898062326,2.44403274,0.540890909,0.939368537
2.513402323,0.547440772,0.949094923,2.385661617,0.482149427,0.93902559
2.419577211,0.567680049,0.992041773,2.276767848,0.491699413,0.932586977
2.46467028,0.580833192,1.027795086,2.168337258,0.460870314,0.898809442
2.455534403,0.538024744,0.993627181,2.13805324,0.434930393,0.881078398
2.402092947,0.473427805,0.963729306,2.192984562,0.361953336,0.900182614
2.38330881,0.428884678,0.957808727,2.300745157,0.37214296,0.957608208
2.362446807,0.408261609,0.918338496,2.425047107,0.484564949,0.958789596
2.303305956,0.426653209,0.824217002,2.542758042,0.534217638,0.94385924
2.221201361,0.454258174,0.763089546,2.621922991,0.513734491,0.871327314
2.125820037,0.432293318,0.765103541,2.635603072,0.517904544,0.840163079
2.082514927,0.436434878,0.808180258,2.582647808,0.509180941,0.812962484
2.052254364,0.483844891,0.85866212,2.48587393,0.567457932,0.771037912
2.061514637,0.574422867,0.881641233,2.389030257,0.617762438,0.716648187
2.080526096,0.600774531,0.882397191,2.392307488,0.594180004,0.688096835
2.057300259,0.533057543,0.929689118,2.429257197,0.53794659,0.68799165
1.998929136,0.474316061,0.929346171,2.521674125,0.517106117,0.698051857
1.890035367,0.483866047,0.922907558,2.601621731,0.525207018,0.653401728
1.781604777,0.453036948,0.889130023,2.635295541,0.56397706,0.635315238
1.751320759,0.427097027,0.871398979,2.701017814,0.58907669,0.691599149
1.806252081,0.35411997,0.890503195,2.872990931,0.599561351,0.777796964
1.914012676,0.364309594,0.947928789,3.017709805,0.68480754,0.930676441
2.038314626,0.476731583,0.949110177,3.143809478,0.884011581,1.150037956
2.156025561,0.526384272,0.934179821,3.28192002,1.146525407,1.383862874
2.23519051,0.505901125,0.861647895,3.584053978,1.367871184,1.565271674
2.248870591,0.510071178,0.83048366,4.076571492,1.504436796,1.620915087
2.195915327,0.501347575,0.803283065,4.721879897,1.625066472,1.593906451
2.099141449,0.559624566,0.761358493,5.56803387,1.761651387,1.495790461
2.002297776,0.609929072,0.706968768,6.721721891,1.788074855,1.248204139
2.005575007,0.586346638,0.678417416,8.270511344,1.679201807,0.862040407
