yaw,pitch,roll
-0.51642272,-0.246903847,-0.564230949
-1.042185389,-0.471260404,-1.121551268
-1.588668497,-0.679953679,-1.664804975
-2.155616435,-0.896925355,-2.177583165
-2.734215832,-1.102337333,-2.685452744
-3.325632695,-1.298263054,-3.179923682
-3.925826881,-1.510393934,-3.65716025
-4.552680409,-1.687776424,-4.099106036
-5.19816619,-1.85331531,-4.508014787
-5.857819412,-2.034986227,-4.888620587
-6.562493637,-2.173071324,-5.198296689
-7.293484255,-2.278679521,-5.44908452
-8.025889658,-2.390095344,-5.671364357
-8.750491953,-2.514611932,-5.89364958
-9.487560875,-2.638180684,-6.075756318
-10.24255727,-2.734687974,-6.201869377
-11.01030951,-2.80370434,-6.290883716
-11.78693995,-2.853938324,-6.334098859
-12.56987166,-2.865476231,-6.307763129
-13.35216851,-2.878236271,-6.249716575
-14.13442992,-2.896848599,-6.177831972
-14.91493777,-2.908687103,-6.076137602
-15.68867749,-2.89395264,-5.9329248
-16.44098391,-2.831996525,-5.686682904
-17.19583649,-2.775555457,-5.451796951
-17.96382161,-2.765788701,-5.275695775
-18.73192909,-2.761573102,-5.105159853
-19.49347507,-2.749972906,-4.913100103
-20.24645563,-2.747608699,-4.688094613
-20.98998477,-2.741697644,-4.443385914
-21.73240712,-2.686070245,-4.23328731
-22.46735813,-2.596410732,-4.030129455
-23.18800456,-2.570386753,-3.752715378
-23.87702578,-2.538677171,-3.371673505
-24.56014407,-2.461570685,-2.991055097
-25.28431353,-2.376127451,-2.758968911
-26.01115877,-2.311297447,-2.554222832
-26.73266469,-2.278189368,-2.355837253
-27.44769491,-2.256235739,-2.16665554
-28.15867932,-2.218575566,-1.985173817
-28.87041803,-2.196578827,-1.827720629
-29.59069477,-2.163829625,-1.687523051
-30.27747166,-2.00961651,-1.446217467
-30.96464286,-1.89827019,-1.260567649
-31.68054322,-1.95223808,-1.246592593
-32.28786777,-1.68719601,-0.943501484
-32.84432767,-1.488731045,-0.469821927
-33.45584303,-1.419738412,-0.048404341
-34.11197028,-1.311106519,0.246219981
-34.76974856,-1.12835427,0.486956033
-35.46638273,-1.056992952,0.530359616
-36.16176191,-1.057971558,0.571800851
-36.84200417,-1.003805578,0.689018719
-37.46739871,-0.861451213,0.986889063
-38.1296585,-0.715585924,1.13178586
-38.77396908,-0.494969909,1.300301729
-39.39355675,-0.331191934,1.594908737
-40.04240291,-0.248427256,1.811216795
-40.65494539,-0.118787903,2.114382722
-41.27312173,0.051091594,2.333075985
-41.91041869,-0.080500359,2.224408242
-42.54358812,0.045282316,2.317889895
-42.67657402,0.410346015,2.711563424
-42.07928169,0.621435305,3.022420544
-41.47912239,0.467784856,2.793405429
-40.82666313,0.424227847,2.781306779
