w,x,y,z
0.880128443,0.001734945,-0.47408852,0.02,1511591992452.13
0.879998624,0.001722014,-0.474368781,0.02,1511591992483.97
0.879920602,0.001960739,-0.474543631,0.02,1511591992515.22
0.879904091,0.001883209,-0.474597305,0.02,1511591992566.20
0.879912555,0.001673744,-0.474570513,0.02,1511591992601.26
0.880116463,0.001726335,-0.474176168,0.02,1511591992653.64
0.880335808,0.002078783,-0.473755777,0.02,1511591992684.51
0.880440474,0.002354407,-0.473556101,0.02,1511591992717.55
0.88051337,0.002046271,-0.473419756,0.02,1511591992752.63
0.880610228,0.001789902,-0.473252624,0.02,1511591992783.78
0.880784929,0.001831055,-0.472943991,0.02,1511591992818.88
0.880974829,0.001972106,-0.472609282,0.02,1511591992850.95
0.880884051,0.002286987,-0.472777069,0.02,1511591992881.85
0.880695999,0.002100177,-0.473111957,0.02,1511591992917.96
0.880843818,0.002260774,-0.472833842,0.02,1511591992951.01
0.880981684,0.002438353,-0.472576559,0.02,1511591992982.14
0.881151915,0.001945481,-0.472273201,0.02,1511591993018.26
0.881118596,0.002290242,-0.472324908,0.02,1511591993065.33
0.881010532,0.002495733,-0.472524345,0.02,1511591993102.41
0.881122351,0.003059073,-0.472297698,0.02,1511591993152.52
0.881181538,0.003046871,-0.472181767,0.02,1511591993184.71
0.881160676,0.002360727,-0.472240657,0.02,1511591993217.78
0.88138634,0.00233215,-0.4718211,0.02,1511591993252.83
0.881509721,0.002615269,-0.471595585,0.02,1511591993285.92
0.881392241,0.002577968,-0.471821696,0.02,1511591993319.03
0.881341517,0.003005013,-0.471905053,0.02,1511591993351.66
0.881385386,0.003218122,-0.471820951,0.02,1511591993380.21
0.881469369,0.003164424,-0.471652478,0.02,1511591993418.34
0.881493092,0.002914389,-0.471593887,0.02,1511591993451.42
0.881524384,0.002290242,-0.47153607,0.02,1511591993484.58
0.881721199,0.002338531,-0.471174568,0.02,1511591993518.71
0.881839335,0.002254173,-0.470948577,0.02,1511591993551.74
0.881746709,0.002230916,-0.471116126,0.02,1511591993584.88
0.881657124,0.002429168,-0.471284062,0.02,1511591993616.00
0.881705999,0.002623802,-0.471200556,0.02,1511591993647.02
0.881595492,0.003280036,-0.471427292,0.02,1511591993685.12
0.881243885,0.003295898,-0.472099692,0.02,1511591993718.24
0.881195843,0.003407052,-0.472216785,0.02,1511591993754.31
0.881375372,0.003959296,-0.47190854,0.02,1511591993784.41
0.881375372,0.003959296,-0.47190854,0.02,1511591993790.91
0.882155657,0.001071163,-0.47051692,0.02,1511591993867.57
0.882623374,-0.000503309,-0.469639868,0.02,1511591993902.51
0.882578015,-0.001084985,-0.469729781,0.02,1511591993932.82
0.881918848,-0.00012207,-0.470935255,0.02,1511591993968.14
0.881417513,0.002344894,-0.471857876,0.02,1511591994000.77
0.880282998,0.012952114,-0.47364971,0.02,1511591994051.87
0.879037559,0.034550644,-0.4745785,0.03,1511591994087.00
0.876661837,0.070939764,-0.474315256,0.04,1511591994135.11
0.872996807,0.104570307,-0.47371608,0.05,1511591994165.87
0.86352843,0.174477175,-0.466123313,0.08,1511591994218.28
0.849187791,0.239019454,-0.458044469,0.11,1511591994265.97
0.826126039,0.310048848,-0.448913336,0.14,1511591994315.57
0.781715274,0.403496712,-0.439038783,0.18,1511591994370.74
0.745817661,0.46387592,-0.429458112,0.21,1511591994415.85
0.7045995,0.522110939,-0.412433594,0.25,1511591994467.98
0.634657264,0.586315215,-0.386145562,0.32,1511591994519.17
0.558978677,0.64243716,-0.33739695,0.4,1511591994569.79
0.496769786,0.680671275,-0.284317344,0.46,1511591994618.44
0.441932619,0.714309156,-0.241040319,0.49,1511591994669.07
0.416166276,0.734689593,-0.221757486,0.49,1511591994720.36
0.406643391,0.746316552,-0.206309512,0.48,1511591994767.92
